proposal_id,pdb_id,ligand_identifier,struct_conn_id,struct_conn_type,suggested_chain_id,suggested_residue_name,suggested_residue_index,suggested_residue_atom_name,suggested_ligand_comp_id,suggested_ligand_atom_name,suggested_covalent_bond_atom_pair,review_classification,exclusion_reason,keep_for_ligand_covale_review,disulfide_exclusion_audit_passed,qa_comment
CYS_SG_EVT_PROP_000001,1A3B,COVPDB1333,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000002,1A3B,COVPDB1333,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000003,1A3B,COVPDB1333,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000004,1A3B,COVPDB1333,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000005,1A3E,COVPDB1330,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000006,1A3E,COVPDB1330,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000007,1A3E,COVPDB1330,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000008,1A3E,COVPDB1330,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000009,1A46,COVPDB1,disulf1,disulf,L,CYS,1,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000010,1A46,COVPDB1,disulf2,disulf,H,CYS,42,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000011,1A46,COVPDB1,disulf3,disulf,H,CYS,168,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
CYS_SG_EVT_PROP_000012,1A46,COVPDB1,disulf4,disulf,H,CYS,191,SG,CYS,SG,SG--SG,exclude_disulfide_or_protein_protein_sg_sg,disulf_or_sg_sg_or_ligand_comp_cys,False,True,
