readiness_item,observed_status,readiness_passed,next_required_gate,qa_comment
support_review_completed,true,True,covapie_cys_sg_ligand_covale_annotation_alignment_gate,
disulfide_rows_excluded,true,True,covapie_cys_sg_ligand_covale_annotation_alignment_gate,
ligand_covale_candidates_written,9,True,covapie_cys_sg_ligand_covale_annotation_alignment_gate,
ready_for_covapie_cys_sg_ligand_covale_annotation_alignment_gate,True,True,covapie_cys_sg_ligand_covale_annotation_alignment_gate,
ready_for_covapie_cys_sg_targeted_metadata_expansion_gate_after_alignment_if_below_20,True,True,covapie_cys_sg_targeted_metadata_expansion_gate_after_alignment_if_below_20,
ready_for_small_pilot_manifest_rerun_false,false,True,not_allowed_current_step,
ready_for_actual_dataloader_false,false,True,not_allowed_current_step,
training_still_false,false,True,not_allowed_current_step,
feature_semantics_still_not_training_final,true,True,feature_semantics_audit_required_before_training,
raw_files_remain_untracked_uncommitted,True,True,raw_files_not_committable,
