qa_item,source_readiness_row_found,expected_status,observed_status,qa_passed,next_required_gate,qa_comment
feature_schema_resolution_smoke_completed,True,passed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
coordinate_policy_smoke_completed,True,passed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
atom_feature_policy_smoke_completed,True,passed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
unknown_atom_policy_smoke_completed,True,passed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
label_policy_smoke_completed,True,passed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
tensor_shape_dtype_policy_smoke_completed,True,passed,true,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
feature_semantics_training_final_still_false,True,passed,feature_semantics_known_for_training=false;unknown_atom_feature_policy_finalized_for_training=false,True,formal_feature_semantics_audit_before_training,readiness smoke row passed; actual dataloader and training remain blocked
actual_dataloader_adapter_smoke_still_blocked,True,passed,ready_for_covapie_actual_dataloader_adapter_smoke=false,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
actual_dataloader_smoke_still_blocked,True,passed,ready_for_covapie_actual_dataloader_smoke=false,True,covapie_feature_semantics_resolution_smoke_qa_gate,readiness smoke row passed; actual dataloader and training remain blocked
training_still_blocked,True,passed,ready_for_training=false;ready_to_train_now=false,True,feature_semantics_audit_and_leakage_split_design_before_training,readiness smoke row passed; actual dataloader and training remain blocked
