safety_item,required_status,observed_status,safety_passed,blocking_reasons
contract_snapshot_passed,True,True,True,
step14aq_source_validation_passed,True,True,True,
source_commit_provenance_passed,True,True,True,
core_disk_materialization_passed,True,True,True,
reference_audit_disk_materialization_passed,True,True,True,
summary_integrity_disk_materialization_passed,True,True,True,
existing_nine_output_preflight_passed,True,True,True,
output_path_contract_passed,True,True,True,
final_precondition_audit_23_of_23,True,True,True,
final_index_csv_11_by_33,True,True,True,
final_index_json_11_by_33,True,True,True,
final_index_csv_json_consistent,True,True,True,
membership_11_of_11,True,True,True,
artifact_inventory_66_of_66,True,True,True,
schema_audit_33_of_33,True,True,True,
source_preservation_11_of_11,True,True,True,
split_summary_4_of_4,True,True,True,
integrity_audit_24_of_24,True,True,True,
canonical_sample_order_preserved,True,True,True,
canonical_source_values_preserved,True,True,True,
exact_group_member_sets_preserved,True,True,True,
split_sample_counts_preserved,True,True,True,
split_group_counts_preserved,True,True,True,
split_artifact_counts_preserved,True,True,True,
artifact_paths_all_relative,True,True,True,
artifact_paths_all_inside_repo,True,True,True,
artifact_paths_all_inside_allowed_derived_root,True,True,True,
artifact_paths_all_outside_raw_root,True,True,True,
artifact_files_all_exist,True,True,True,
artifact_files_all_regular,True,True,True,
artifact_sizes_all_positive,True,True,True,
artifact_hashes_all_present,True,True,True,
artifact_references_all_preserved,True,True,True,
metadata_output_boundary_passed,True,True,True,
no_unknown_outputs,True,True,True,
no_unexpected_output_directories,True,True,True,
no_output_symlinks,True,True,True,
no_forbidden_artifacts,True,True,True,
no_temporary_artifacts,True,True,True,
no_raw_reads,True,True,True,
no_raw_writes,True,True,True,
no_artifact_copying,True,True,True,
no_tensor_outputs,True,True,True,
no_dataloader_outputs,True,True,True,
no_training_outputs,True,True,True,
canonical_mask_count_is_five,True,True,True,
scaffold_only_b3_present,True,True,True,
no_extra_mask_tasks_added,True,True,True,
feature_semantics_known_for_training,False,False,True,
unknown_atom_feature_policy_finalized_for_training,False,False,True,
feature_semantics_audit_required_before_training,True,True,True,
statistical_representativeness_claimed,False,False,True,
production_split_policy_finalized,False,False,True,
ready_for_training,False,False,True,
ready_to_train_now,False,False,True,
