precondition_item,expected_status,observed_status,precondition_passed,blocking_reasons
contract_snapshot_passed,True,True,True,
source_files_loaded,True,True,True,
commit_provenance_passed,True,True,True,
manifest_contract_passed,True,True,True,
precondition_audit_passed,True,True,True,
policy_audit_passed,True,True,True,
group_assignment_passed,True,True,True,
sample_assignment_passed,True,True,True,
group_sample_membership_passed,True,True,True,
split_indexes_passed,True,True,True,
canonical_source_index_reconstructed,True,True,True,
leakage_audit_passed,True,True,True,
balance_audit_passed,True,True,True,
issue_sentinel_passed,True,True,True,
source_safety_audit_passed,True,True,True,
training_boundary_preserved,True,True,True,
canonical_masks_preserved,True,True,True,
sample_identity_order_passed,True,True,True,
split_index_type_contract_passed,True,True,True,
split_index_semantic_contract_passed,True,True,True,
safety_required_contract_passed,True,True,True,
group_policy_boundary_passed,True,True,True,
sample_training_boundary_passed,True,True,True,
