sample_index_row_id,sample_preparation_input_id,sample_execution_id,sample_qa_id,pdb_id,expected_het_id,sample_artifact_root,protein_atom_table_path,ligand_atom_table_path,pocket_atom_table_path,covalent_event_table_path,ligand_residue_atom_pair_table_path,sample_preparation_audit_path,protein_atom_count,ligand_atom_count,pocket_atom_count,covalent_event_count,ligand_residue_atom_pair_count,covalent_residue_name,covalent_residue_chain_id,covalent_residue_index,covalent_residue_atom_name,ligand_comp_id,ligand_covalent_atom_name,covalent_bond_atom_pair,conn_id,conn_type_id,bond_distance_angstrom,sample_index_status,eligible_for_final_dataset_design,ready_for_training_current_step,feature_semantics_audit_required_before_training,leakage_split_design_required_before_training
CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_PREP_INPUT_000001,CYS_SG_SAMPLE_PREP_EXECUTION_000001,CYS_SG_SAMPLE_PREP_QA_000001,6BV6,JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/protein_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/pocket_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/covalent_event_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV6_JUG/sample_preparation_audit.csv,7468,13,121,1,1,CYS,A,346,SG,JUG,CAG,SG--CAG,covale1,covale,1.67,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000002,CYS_SG_SAMPLE_PREP_INPUT_000002,CYS_SG_SAMPLE_PREP_EXECUTION_000002,CYS_SG_SAMPLE_PREP_QA_000002,6BV8,JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/protein_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/pocket_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/covalent_event_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV8_JUG/sample_preparation_audit.csv,7508,18,196,1,1,CYS,A,353,SG,JUG,CAG,SG--CAG,covale1,covale,1.8,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000003,CYS_SG_SAMPLE_PREP_INPUT_000003,CYS_SG_SAMPLE_PREP_EXECUTION_000003,CYS_SG_SAMPLE_PREP_QA_000003,6BV5,JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/protein_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/pocket_atom_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/covalent_event_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0/samples/6BV5_JUG/sample_preparation_audit.csv,7503,13,178,1,1,CYS,A,353,SG,JUG,CAG,SG--CAG,covale1,covale,1.718,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000004,CYS_SG_EXPANSION_PREP_000001,CYS_SG_EXPANSION_EXEC_000001,CYS_SG_EXPANSION_EMBEDDED_QA_000001,1AEC,E64,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/sample_preparation_audit.csv,2003,33,265,1,1,CYS,A,25,SG,E64,C2,SG--C2,covale1,covale,1.802,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000005,CYS_SG_EXPANSION_PREP_000002,CYS_SG_EXPANSION_EXEC_000002,CYS_SG_EXPANSION_EMBEDDED_QA_000002,1AIM,ZYA,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AIM_ZYA/sample_preparation_audit.csv,1923,31,231,1,1,CYS,A,25,SG,ZYA,CM,SG--CM,covale1,covale,1.809,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000006,CYS_SG_EXPANSION_PREP_000003,CYS_SG_EXPANSION_EXEC_000003,CYS_SG_EXPANSION_EMBEDDED_QA_000003,1AU3,PCM,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU3_PCM/sample_preparation_audit.csv,1649,43,278,1,1,CYS,A,25,SG,PCM,C22,SG--C22,covale1,covale,1.762,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000007,CYS_SG_EXPANSION_PREP_000004,CYS_SG_EXPANSION_EXEC_000004,CYS_SG_EXPANSION_EMBEDDED_QA_000004,1AU4,INP,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AU4_INP/sample_preparation_audit.csv,1649,42,267,1,1,CYS,A,25,SG,INP,C17,SG--C17,covale1,covale,1.807,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000008,CYS_SG_EXPANSION_PREP_000005,CYS_SG_EXPANSION_EXEC_000005,CYS_SG_EXPANSION_EMBEDDED_QA_000005,1AYU,INA,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYU_INA/sample_preparation_audit.csv,1649,42,257,1,1,CYS,A,25,SG,INA,C21,SG--C21,covale1,covale,1.799,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000009,CYS_SG_EXPANSION_PREP_000006,CYS_SG_EXPANSION_EXEC_000006,CYS_SG_EXPANSION_EMBEDDED_QA_000006,1AYV,IN6,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYV_IN6/sample_preparation_audit.csv,1649,43,249,1,1,CYS,A,25,SG,IN6,C21,SG--C21,covale1,covale,1.806,sample_index_materialized_from_qa_passed_sample,False,False,True,True
CYS_SG_SAMPLE_INDEX_000010,CYS_SG_EXPANSION_PREP_000007,CYS_SG_EXPANSION_EXEC_000007,CYS_SG_EXPANSION_EMBEDDED_QA_000007,1AYW,IN3,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/protein_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/pocket_atom_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/covalent_event_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/ligand_residue_atom_pair_table.csv,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AYW_IN3/sample_preparation_audit.csv,1649,40,261,1,1,CYS,A,25,SG,IN3,C21,SG--C21,covale1,covale,1.794,sample_index_materialized_from_qa_passed_sample,False,False,True,True
