contract_id,contract_area,contract_statement,expected_value,observed_value,contract_passed
TYPE_001,type_identity,result type identity,true,true,true
TYPE_002,type_identity,dispatch error type identity,true,true,true
TYPE_003,type_identity,Exact13 fields,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,true
TYPE_004,type_identity,Exact6 fields,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,true
TYPE_005,type_identity,result schema,covapie_unified_admission_rule_evaluation_v1,covapie_unified_admission_rule_evaluation_v1,true
TYPE_006,type_identity,outcome vocabulary,passed|blocked|invalid|rejected,passed|blocked|invalid|rejected,true
API_001,public_api,signature,"(admission_rule_id: 'str', candidate_record: 'Mapping[str, object]', *, batch_context: 'Mapping[str, object] | None' = None, evaluation_context: 'Mapping[str, object] | None' = None, download_result_context: 'Mapping[str, object] | None' = None, stage_authorization_context: 'Mapping[str, object] | None' = None) -> 'UnifiedAdmissionRuleEvaluation'","(admission_rule_id: 'str', candidate_record: 'Mapping[str, object]', *, batch_context: 'Mapping[str, object] | None' = None, evaluation_context: 'Mapping[str, object] | None' = None, download_result_context: 'Mapping[str, object] | None' = None, stage_authorization_context: 'Mapping[str, object] | None' = None) -> 'UnifiedAdmissionRuleEvaluation'",true
API_002,public_api,dispatch cardinality,single_rule_only,single_rule_only,true
API_003,public_api,evaluate_all_rules,excluded,excluded,true
API_004,public_api,combined candidate verdict,excluded,excluded,true
DISPATCH_001,global_dispatch,precedence,exact_str|known|registered|handler,exact_str|known|registered|handler,true
REGISTRY_001,registry,immutable registry,true,true,true
REGISTRY_002,registry,registered IDs,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008,true
REGISTRY_003,registry,registered count,8,8,true
REGISTRY_004,registry,callable discovered count,8,8,true
REGISTRY_005,registry,adapter ready count,8,8,true
REUSE_001,predecessor_reuse,first seven handler identity,true,true,true
REUSE_002,predecessor_reuse,first seven names and adapters,true,true,true
A008_001,admit008_identity,rule name,topology_restoration_disposition,topology_restoration_disposition,true
A008_002,admit008_identity,adapter ID,covapie_admit_008_unified_adapter_v1,covapie_admit_008_unified_adapter_v1,true
