safety_item,expected_executed,observed_executed,safety_passed
exact8_successor_runtime_implementation,true,true,true
admit_008_adapter_handler_implementation,true,true,true
exact8_registry_extension,true,true,true
public_type_identity_reuse,true,true,true
predecessor_handler_identity_reuse,true,true,true
context_routing,true,true,true
candidate_projection,true,true,true
standalone_exact10_validation,true,true,true
oracle_complete_exact10_equivalence,true,true,true
exact13_projection,true,true,true
synthetic_runtime_truth,true,true,true
exact18_source_verification,true,true,true
issue_coverage_transition,true,true,true
deterministic_materialization,true,true,true
predecessor_exact7_runtime_modification,false,false,true
admit_001_to_007_handler_modification,false,false,true
admit_009_implementation,false,false,true
admit_009_to_015_registration,false,false,true
provider_mapping,false,false,true
provider_value_materialization,false,false,true
restoration_provenance_consumption,false,false,true
real_candidate_evaluation,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
cross_rule_precedence_change,false,false,true
raw_read,false,false,true
network,false,false,true
bulk_download,false,false,true
checkpoint,false,false,true
torch,false,false,true
numpy,false,false,true
rdkit,false,false,true
model_forward,false,false,true
model_loss,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage,false,false,true
commit,false,false,true
push,false,false,true
gh,false,false,true
