risk_group,observed_group_count,observed_max_rows_per_group,smoke_status,risk_level,required_action_before_real_split,risk_smoke_audit_passed
parent_event_grouping,4,5,observed_current_smoke_preview,hard_grouping_required,enforce_or_review_grouping_before_real_split,True
candidate_metadata_grouping,4,5,observed_current_smoke_preview,hard_grouping_required,enforce_or_review_grouping_before_real_split,True
pdb_grouping,4,5,observed_current_smoke_preview,hard_grouping_required,enforce_or_review_grouping_before_real_split,True
ligand_het_code_grouping,4,5,observed_current_smoke_preview,review_required,enforce_or_review_grouping_before_real_split,True
covalent_residue_site_grouping,1,20,observed_current_smoke_preview,review_required,enforce_or_review_grouping_before_real_split,True
covalent_bond_atom_pair_grouping,2,10,observed_current_smoke_preview,review_required,enforce_or_review_grouping_before_real_split,True
mask_task_grouping,5,4,observed_current_smoke_preview,review_required,enforce_or_review_grouping_before_real_split,True
row_level_random_split_forbidden,20,1,forbidden_by_design,hard_forbidden,split_by_parent_units_not_rows,True
scaffold_identity_missing,0,0,required_before_real_split,future_required,materialize_scaffold_identity_before_real_split,True
warhead_type_missing,0,0,required_before_real_split,future_required,materialize_warhead_type_before_real_split,True
feature_semantics_audit_required,0,0,required_before_training,training_blocker,complete_feature_semantics_audit_before_training,True
smoke_size_too_small_for_real_train_val_test,4,5,blocks_real_split_assignment,real_split_blocker,use_larger_validated_dataset_before_real_split_assignment,True
