review_order,priority,review_unit_id,event_count,pdb_ids,ligand_component_ids,machine_status_distribution,representative_event_id,predicted_splits,topology_availability,decision_state
1,P0,COVAPIE_BULK_REVIEW_UNIT_07BD3B72031BD7CC,2,"[""1NFZ""]","[""EIP""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:1NFZ:A:CYS:67-:SG:E:EIP:C12,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
2,P0,COVAPIE_BULK_REVIEW_UNIT_164B59C21643F70A,2,"[""2EFT""]","[""MEE""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:2EFT:A:CYS:112-:SG:E:MEE:S,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
3,P0,COVAPIE_BULK_REVIEW_UNIT_53F40FB515D7D1DF,1,"[""1GSN""]","[""GSH""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":1}",COVAPIE_CYS_SG_EVENT_V1:1GSN:A:CYS:58-:SG:D:GSH:SG2,"[""UNASSIGNED_READ_ONLY""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
4,P0,COVAPIE_BULK_REVIEW_UNIT_5662273FCD38234C,1,"[""1BWC""]","[""AJ3""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":1}",COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
5,P0,COVAPIE_BULK_REVIEW_UNIT_59100AAB78E957D9,2,"[""2AX0""]","[""5X""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:2AX0:A:CYS:366-:SG:F:5X:C1,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
6,P0,COVAPIE_BULK_REVIEW_UNIT_5FFACB7F4984AD92,1,"[""1PY0""]","[""YMA""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":1}",COVAPIE_CYS_SG_EVENT_V1:1PY0:A:CYS:51-:SG:E:YMA:S1,"[""test""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
7,P0,COVAPIE_BULK_REVIEW_UNIT_6F93A0730570186F,1,"[""1NBP""]","[""MHC""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":1}",COVAPIE_CYS_SG_EVENT_V1:1NBP:A:CYS:31-:SG:C:MHC:S1,"[""UNASSIGNED_READ_ONLY""]",NO_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
8,P0,COVAPIE_BULK_REVIEW_UNIT_7D83F048AF8A2295,4,"[""1WOF"",""2AMP""]","[""I12""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":4}",COVAPIE_CYS_SG_EVENT_V1:1WOF:A:CYS:145-:SG:C:I12:C21,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
9,P0,COVAPIE_BULK_REVIEW_UNIT_AAB4DCC7D3073222,2,"[""1XD3""]","[""GVE""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:1XD3:A:CYS:95-:SG:H:GVE:CB,"[""validation""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
10,P0,COVAPIE_BULK_REVIEW_UNIT_B4F514DC9BD2350E,2,"[""2AMD""]","[""9IN""]","{""COVALENT_SMALL_MOLECULE_TASK_RELEVANCE_SUPPORTED"":2}",COVAPIE_CYS_SG_EVENT_V1:2AMD:A:CYS:145-:SG:C:9IN:C23,"[""train""]",ALL_EVENTS_RADIUS2_AVAILABLE,UNREVIEWED
