dependency_name,dependency_artifact_path,dependency_required_for_future_loader_shape_dry_run,dependency_exists,dependency_row_count,dependency_expected_row_count,dependency_count_validated,dependency_validation_status,loader_execution_status,training_use_status
step13x_manifest,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_qa_gate_v0/model_input_qa_manifest.json,True,True,1,1,True,exists_and_count_validated,not_executed,not_training_input_yet
step13x_row_qa_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_qa_gate_v0/model_input_smoke_row_qa_audit.csv,True,True,3,3,True,exists_and_count_validated,not_executed,not_training_input_yet
step13x_dependency_qa_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_qa_gate_v0/model_input_smoke_dependency_qa_audit.csv,True,True,10,10,True,exists_and_count_validated,not_executed,not_training_input_yet
step13x_feature_qa_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_qa_gate_v0/model_input_smoke_feature_qa_audit.csv,True,True,12,12,True,exists_and_count_validated,not_executed,not_training_input_yet
step13x_mask_qa_audit,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_qa_gate_v0/model_input_smoke_mask_qa_audit.csv,True,True,5,5,True,exists_and_count_validated,not_executed,not_training_input_yet
step13w_model_input_smoke_index,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_index.csv,True,True,3,3,True,exists_and_count_validated,not_executed,not_training_input_yet
step13w_model_input_smoke_feature_status,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_feature_status.csv,True,True,12,12,True,exists_and_count_validated,not_executed,not_training_input_yet
step13w_model_input_smoke_mask_status,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_materialization_smoke_v0/model_input_smoke_mask_status.csv,True,True,5,5,True,exists_and_count_validated,not_executed,not_training_input_yet
step13v_sample_contract,data/derived/covalent_small/real_covalent_confirmed_candidate_model_input_design_gate_v0/model_input_sample_contract.csv,True,True,3,3,True,exists_and_count_validated,not_executed,not_training_input_yet
step13r_atom_topology_smoke_table,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_observed_atom_topology_smoke_table.csv,True,True,104,104,True,exists_and_count_validated,not_executed,not_training_input_yet
step13l_pocket_atom_table,data/derived/covalent_small/real_covalent_confirmed_candidate_pocket_extraction_smoke_v0/real_covalent_confirmed_candidate_pocket_atom_table.csv,True,True,741,741,True,exists_and_count_validated,not_executed,not_training_input_yet
