routing_order,routing_item,envelope_or_stage,authority_status,access_or_enforcement_contract,expected_behavior,observed_design,routing_passed
1,only authority,stage_authorization_context,authoritative,ordered target __getitem__ only,consume training target key once,consume training target key once,true
2,candidate source,candidate_record,forbidden,zero access,cannot authorize or override,cannot authorize or override,true
3,batch source,batch_context,forbidden,zero access,cannot authorize or override,cannot authorize or override,true
4,evaluation source,evaluation_context,forbidden,zero access,cannot authorize or override,cannot authorize or override,true
5,download-result source,download_result_context,forbidden,zero access,cannot authorize or override,cannot authorize or override,true
6,provider source,provider_result,forbidden,zero access,cannot authorize,cannot authorize,true
7,candidate self-report,candidate_self_report,forbidden,zero access,cannot authorize,cannot authorize,true
8,environment source,environment_variable,forbidden,zero access,cannot authorize,cannot authorize,true
9,filesystem/raw source,filesystem_marker|raw_file,forbidden,zero access,cannot authorize,cannot authorize,true
10,artifact/Git source,artifact_sha256|git_commit_sha,forbidden,zero access,cannot authorize,cannot authorize,true
11,manifest/fixture source,manifest_self_report|test_fixture,forbidden,zero access,cannot authorize,cannot authorize,true
12,checkpoint/config/CLI source,checkpoint_metadata|training_config|CLI_flag,forbidden,zero access,cannot authorize,cannot authorize,true
13,model/dataloader source,model_state|dataloader_state,forbidden,zero access,cannot authorize,cannot authorize,true
14,ADMIT_014 permission,current_stage_download_authorized,forbidden,zero training-authority access,download True never authorizes training,download True never authorizes training,true
15,extra stage keys,stage_authorization_context,allowed,do not iterate/len/get/contains,target-only lookup,target-only lookup,true
16,missing context,stage_authorization_context,fail_closed,no fallback/default,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,STAGE_AUTHORIZATION_CONTEXT_REQUIRED,true
17,invalid context,stage_authorization_context,fail_closed,Mapping required,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,STAGE_AUTHORIZATION_CONTEXT_MAPPING_INVALID,true
18,missing key,current_stage_training_authorized,fail_closed,first KeyError classified missing,CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING,CURRENT_STAGE_TRAINING_AUTHORIZED_MISSING,true
19,lookup exception,current_stage_training_authorized,fail_closed,non-KeyError classified lookup failed,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,STAGE_AUTHORIZATION_CONTEXT_LOOKUP_FAILED,true
20,invalid type,current_stage_training_authorized,fail_closed,exact built-in bool required,CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID,CURRENT_STAGE_TRAINING_AUTHORIZED_TYPE_INVALID,true
21,false permission,current_stage_training_authorized,authoritative,hard block,TRAINING_NOT_AUTHORIZED,TRAINING_NOT_AUTHORIZED,true
22,true permission,current_stage_training_authorized,authoritative,permission verdict only,synthetic design pass only,synthetic design pass only,true
23,download True,current_stage_download_authorized,isolated,no fallback/alias,training remains missing or controlled by training key,training remains missing or controlled by training key,true
24,training True,current_stage_training_authorized,isolated,ADMIT_014 must not consume,download permission unchanged,download permission unchanged,true
25,cross-key OR,download|training,forbidden,no combined permission,undefined,undefined,true
26,cross-key AND,download|training,forbidden,not a single permission,undefined,undefined,true
27,current permission,current project state,false,synthetic True cannot change it,training_not_authorized,training_not_authorized,true
28,authorized execution count,current project state,0,no training invocation,0,0,true
29,future stage-global guard,real-training invocation,future_mandatory,evaluate once per invocation,before protected operations,before protected operations,true
30,dataloader instantiation,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
31,checkpoint loading,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
32,model initialization/forward,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
33,loss/backward,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
34,optimizer/scheduler creation,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
35,parameter update,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
36,training checkpoint write,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
37,training result materialization,pre-training,protected action,future ADMIT_015 pass required,blocked count=0,blocked count=0,true
38,aggregation independence,combined verdict,not_implemented,blocked cannot be overridden,cross-rule aggregation undefined,cross-rule aggregation undefined,true
39,enforcement API,future training orchestration,not_frozen,responsibility only,implementation absent,implementation absent,true
40,pass limitation,ADMIT_015 design pass,permission_only,no current readiness implication,feature-semantics audit remains required,feature-semantics audit remains required,true
