contract_order,contract_item,contract_group,expected_contract,observed_contract,responsibility_owner,contract_passed
1,authoritative envelope,authority,stage_authorization_context,stage_authorization_context,evaluator,true
2,authoritative key,authority,current_stage_training_authorized,current_stage_training_authorized,evaluator,true
3,exact value type,value,type(value) is bool,type(value) is bool,evaluator,true
4,closed value vocabulary,value,False|True,False|True,evaluator,true
5,false semantics,value,blocked|TRAINING_NOT_AUTHORIZED,blocked|TRAINING_NOT_AUTHORIZED,evaluator,true
6,true semantics,value,passed|empty reason,passed|empty reason,evaluator,true
7,normalization,value,forbidden,forbidden,evaluator,true
8,truthiness coercion,value,forbidden; bool(value) not used,forbidden; bool(value) not used,evaluator,true
9,integer coercion,value,forbidden,forbidden,evaluator,true
10,string coercion,value,forbidden,forbidden,evaluator,true
11,numpy.bool_ coercion,value,forbidden,forbidden,evaluator,true
12,producer boundary,trust,trusted_future_stage_orchestrator,trusted_future_stage_orchestrator,trusted caller,true
13,trust source,trust,invocation boundary; not mapping self-report,invocation boundary; not mapping self-report,trusted caller,true
14,invocation lifetime,freshness,invocation-local,invocation-local,trusted caller,true
15,explicit reconstruction,freshness,required for every stage invocation,required for every stage invocation,trusted caller,true
16,previous invocation replay,freshness,forbidden,forbidden,trusted caller,true
17,artifact/cache/raw replay,freshness,forbidden,forbidden,trusted caller,true
18,identity authentication,trust,outside evaluator,outside evaluator,future orchestration,true
19,signature verification,trust,outside evaluator,outside evaluator,future orchestration,true
20,cryptographic authentication,trust,outside evaluator,outside evaluator,future orchestration,true
21,download key isolation,isolation,never training authority,never training authority,evaluator,true
22,training key isolation,isolation,never download authority,never download authority,ADMIT_014 evaluator,true
23,fallback/alias/OR/AND,isolation,all forbidden,all forbidden,future orchestration,true
24,evaluator responsibility,responsibility,consume and validate one exact bool,consume and validate one exact bool,evaluator,true
25,caller responsibility,responsibility,construct fresh trusted stage context,construct fresh trusted stage context,trusted caller,true
26,orchestration responsibility,responsibility,enforce trust boundary and future pre-training guard,enforce trust boundary and future pre-training guard,future orchestration,true
