failure_case,mutation_signature,mutated_fields,expected_reasons,observed_reasons,expected_reasons_verified,fails_closed,ready_for_current11_observed_projection,ready_for_reaction_family_rule_design,ready_for_role_proposal_generation,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,verified
payload missing,e021c8b34f07c17774e933c268a07e475b5bbe75cf6f5849cec2ee06d25b0e90,"{""payload_exists"":false}",payload_missing,payload_missing,true,true,false,false,false,false,false,false,true
payload not regular,79f2308d3ea2398f46c34c13f0e293b5f294e0744669c76cd4b187b4be75090c,"{""regular_file"":false}",payload_not_regular,payload_not_regular,true,true,false,false,false,false,false,false,true
payload symlink,9ee730438812cacd33496cc5b7d976aa9e0361a4eeb685d897e8f71131ddb1a2,"{""symlink"":true}",payload_symlink,payload_symlink,true,true,false,false,false,false,false,false,true
payload empty,b893a0a02977d4e1d4230a3391343775d05012d4e083896976e068d96624576c,"{""file_size_bytes"":0}",payload_empty,payload_empty,true,true,false,false,false,false,false,false,true
payload oversize,3bf813dbc9bb0cc1406df9895fbc6c6498599bfdb3ddd972e4d10163c50a6a40,"{""file_size_bytes"":5242880}",payload_oversize,payload_oversize,true,true,false,false,false,false,false,false,true
payload mode invalid,63c8b7eccea1dace3c09a84a52a96426d98c1371405e019a378b4445d67a9723,"{""mode"":384}",payload_mode_invalid,payload_mode_invalid,true,true,false,false,false,false,false,false,true
payload not ignored,c080c0693dccd120d424e0def24d5ae088cbbffabb9d25e467bd1d304675eb4e,"{""ignored_by_project_gitignore"":false}",payload_not_ignored,payload_not_ignored,true,true,false,false,false,false,false,false,true
payload tracked,18d621b3b7526610329aff8b844b4466d9d4ee02c4ccd8950edd8c14b8707705,"{""raw_tracked"":true}",payload_raw_tracked,payload_raw_tracked,true,true,false,false,false,false,false,false,true
payload staged,beb552e48fa5c9b19dabb14a9a8a53199314166d230fa7793ffc89ed8cc7d2b4,"{""raw_staged"":true}",payload_raw_staged,payload_raw_staged,true,true,false,false,false,false,false,false,true
payload SHA mismatch,86f3c5692aa21fc4e75469d78d6843f8dde8d1e8a1350af4d16cec8673167629,"{""payload_sha_matches"":false}",payload_sha_mismatch,payload_sha_mismatch,true,true,false,false,false,false,false,false,true
BASE audit SHA mismatch,122ab95c6e13e03f91bf68533a156f3a4b34413b8df539efcd45e72d341cb7f5,"{""base_audit_sha_matches"":false}",base_audit_sha_mismatch,base_audit_sha_mismatch,true,true,false,false,false,false,false,false,true
decode failure,51dc420ddb3098ca0160874e8284ecf67e44be8fa9541d3cd035b82576c048f0,"{""decode_passed"":false}",payload_decode_failed,payload_decode_failed,true,true,false,false,false,false,false,false,true
component identity missing,7ccfa16fa803d19ff32fc3e22a06887eb76a1b58cc3e1232ddb65a7d4543364f,"{""component_identity_present"":false}",ccd_component_identity_missing,ccd_component_identity_missing,true,true,false,false,false,false,false,false,true
component identity mismatch,4700bcbdd4a8f331d46283ea2d8fd2cce5bbbb05f8323d3e257474cdb01fe8a5,"{""component_identity_matches"":false}",ccd_component_identity_mismatch,ccd_component_identity_mismatch,true,true,false,false,false,false,false,false,true
atom loop missing,f0c9e54ce946330dda9274a51402ae2bb2a9262fbb481a63afa481148cf7f5bb,"{""atom_loop_present"":false}",chem_comp_atom_loop_missing,chem_comp_atom_loop_missing,true,true,false,false,false,false,false,false,true
bond loop missing,1927d90cc67e8e9404450d24894b0afe9938921061cd4db9abfa754267f44c91,"{""bond_loop_present"":false}",chem_comp_bond_loop_missing,chem_comp_bond_loop_missing,true,true,false,false,false,false,false,false,true
charge invalid,19c7455b2a7f25a8dc5bed82329745dec09e0fa4e31e9e6b3a9b3701e19d2b7b,"{""charge_valid"":false}",chem_comp_atom_charge_missing_or_invalid,chem_comp_atom_charge_missing_or_invalid,true,true,false,false,false,false,false,false,true
all-hydrogen component,6cd2385879dde3ed59c847c7fd3247ed8562bc50adc262f78cdbaa89af563cbb,"{""parent_heavy_atom_count"":0}",parent_heavy_atom_table_empty,parent_heavy_atom_table_empty,true,true,false,false,false,false,false,false,true
unsupported element,b00461ed81e82646c5c5807ed586919d6ea5aa414a2d7bf34743cc9de2fa2796,"{""unsupported_element_count"":1}",unsupported_element,unsupported_element,true,true,false,false,false,false,false,false,true
unsupported bond order,d4b059dfd8f8e95b2f2c7bb34badf38f83f379c3ad7abecc66e4e075ab431659,"{""unsupported_bond_order_count"":1}",unsupported_ccd_bond_order,unsupported_ccd_bond_order,true,true,false,false,false,false,false,false,true
duplicate parent atom or edge,beb6584a8aa8da7049ba0fa460b5054a7b9c0ac51a20b1a9987f1db9abe78841,"{""duplicate_parent_atom_or_edge_count"":1}",duplicate_parent_atom_or_edge,duplicate_parent_atom_or_edge,true,true,false,false,false,false,false,false,true
parent graph disconnected,fd177425daafe141191d593937e66c9f64efd91ebc99795d91f0f9fae4c97ae4,"{""parent_component_count"":2}",parent_graph_disconnected,parent_graph_disconnected,true,true,false,false,false,false,false,false,true
partial materialization attempted,1d6b3a54af8dea14a97f4c5ccc19a695a5a71757f2aed0219ee84b4523842147,"{""partial_materialization_attempted"":true}",partial_materialization_attempted,partial_materialization_attempted,true,true,false,false,false,false,false,false,true
execution boundary crossed,959a8398ea67e22bd859cfd4e51971d38d0a5ce2b8d2f7b2a3acadd9453def35,"{""execution_boundary_crossed"":true}",execution_boundary_crossed,execution_boundary_crossed,true,true,false,false,false,false,false,false,true
