ligand_comp_id,ccd_source_relative_path,ccd_source_sha256,ccd_parser_contract_version,ccd_atom_id,ccd_type_symbol,ccd_formal_charge,ccd_heavy_atom_row_index_0based,component_parent_graph_sha256,authority_class,verified
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,OAA,O,0,0,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAJ,C,0,1,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAF,C,0,2,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAG,C,0,3,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAK,C,0,4,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,OAB,O,0,5,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAM,C,0,6,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAL,C,0,7,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAH,C,0,8,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAD,C,0,9,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,covapie_current11_pre_reaction_graph_and_bond_order_authority_v1,CAE,C,0,10,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
