sample_index_row_id,pdb_id,ligand_comp_id,local_ccd_admitted,component_parent_atom_authority_available,component_parent_bond_order_authority_available,component_parent_graph_valid,component_parent_graph_sha256,supporting_parent_heavy_atom_count,derived_parent_heavy_atom_count,parent_heavy_atom_count_matches,observed_atom_projection_exact,observed_projected_graph_available,reaction_family_label_available,approved_warhead_rule_available,role_proposal_generation_ready,minimal_seed_proposal_generation_ready,human_gold_review_completed,ready_for_mask_materialization,ready_for_tensorization,ready_for_model_integration,ready_for_training,blocking_reasons,verified
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,true,true,true,true,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,13,13,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,true,true,true,true,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,13,13,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,true,true,true,true,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,13,13,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,true,true,true,true,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,25,25,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,true,true,true,true,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,29,29,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,true,true,true,true,242ed3f61168a2e8f38b179bc1e90b4131d75fba516aad185cd8a9c0010a91eb,43,43,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,true,true,true,true,e3c89c1988101e5064c905158b2332adfcf833424957769fa36750d9e5bfdbb8,42,42,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,true,true,true,true,9301ce1298133a5f1c3b22bee503288fd3f3b2492a048049d4e5419ef4a23788,42,42,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,true,true,true,true,5051c93e26f89216eeceffcc7d7fbf600cf26343910a46daca9f5a9453aab8d6,43,43,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,true,true,true,true,764e7b55f9a4fdb731d1417afbe4bea3908976fc4d075d017e535798dfa1b995,40,40,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,true,true,true,true,0bbb2714019233cd9b1b5bb6b2090ba91604048b1c2141e45fd481601edf1b43,21,21,true,false,false,false,false,false,false,false,false,false,false,false,current11_observed_atom_projection_missing;current11_observed_projected_graph_missing;reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
