pdb_id,raw_path,struct_conn_row_index,struct_conn_id,conn_type_id,conn_candidate_status,conn_type_candidate_reason,ptnr1_label_asym_id,ptnr1_label_comp_id,ptnr1_label_seq_id,ptnr1_label_atom_id,ptnr1_auth_asym_id,ptnr1_auth_comp_id,ptnr1_auth_seq_id,ptnr1_auth_atom_id,ptnr1_symmetry,ptnr2_label_asym_id,ptnr2_label_comp_id,ptnr2_label_seq_id,ptnr2_label_atom_id,ptnr2_auth_asym_id,ptnr2_auth_comp_id,ptnr2_auth_seq_id,ptnr2_auth_atom_id,ptnr2_symmetry,pdbx_dist_value,pdbx_role,raw_struct_conn_header_count,raw_struct_conn_token_count,struct_conn_loop_detected,struct_conn_row_parse_status,full_mmcif_parser_used,parser_library_used,biopdb_parser_used,gemmi_used,rdkit_used,coordinate_geometry_calculation_run,covalent_bond_atom_pair_inferred,ligand_residue_role_inferred,warhead_type_inferred,coordinates_inferred,error_message
6DI9,data/raw/covalent_sources/pdb_mmcif_direct/structures/6DI9.cif.gz,1,covale1,covale,covalent_like_candidate,covale,A,CYS,93,SG,A,CYS,481,,1_555,B,GJJ,,C33,A,GJJ,701,,1_555,1.869,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
6DI9,data/raw/covalent_sources/pdb_mmcif_direct/structures/6DI9.cif.gz,2,covale2,covale,covalent_like_candidate,covale,A,CYS,93,SG,A,CYS,481,,1_555,B,GJJ,,C33,A,GJJ,701,,1_555,1.805,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,1,covale1,covale,covalent_like_candidate,covale,A,CYS,13,SG,A,CYS,12,,1_555,E,5UT,,C15,A,5UT,204,,1_555,1.755,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,2,metalc1,metalc,non_candidate_recorded,,A,SER,18,OG,A,SER,17,,1_555,B,MG,,MG,A,MG,201,,1_555,2.090,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,3,metalc2,metalc,non_candidate_recorded,,B,MG,,MG,A,MG,201,,1_555,G,GDP,,O3B,A,GDP,206,,1_555,2.088,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,4,metalc3,metalc,non_candidate_recorded,,B,MG,,MG,A,MG,201,,1_555,H,HOH,,O,A,HOH,342,,1_555,2.060,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,5,metalc4,metalc,non_candidate_recorded,,B,MG,,MG,A,MG,201,,1_555,H,HOH,,O,A,HOH,349,,1_555,2.049,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,6,metalc5,metalc,non_candidate_recorded,,B,MG,,MG,A,MG,201,,1_555,H,HOH,,O,A,HOH,352,,1_555,2.073,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
5F2E,data/raw/covalent_sources/pdb_mmcif_direct/structures/5F2E.cif.gz,7,metalc6,metalc,non_candidate_recorded,,B,MG,,MG,A,MG,201,,1_555,H,HOH,,O,A,HOH,382,,1_555,2.137,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
6OIM,data/raw/covalent_sources/pdb_mmcif_direct/structures/6OIM.cif.gz,1,covale1,covale,covalent_like_candidate,covale,A,CYS,26,SG,A,CYS,12,,1_555,D,MOV,,C25,A,MOV,303,,1_555,1.805,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
6OIM,data/raw/covalent_sources/pdb_mmcif_direct/structures/6OIM.cif.gz,2,metalc1,metalc,non_candidate_recorded,,A,SER,31,OG,A,SER,17,,1_555,B,MG,,MG,A,MG,301,,1_555,2.164,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
6OIM,data/raw/covalent_sources/pdb_mmcif_direct/structures/6OIM.cif.gz,3,metalc2,metalc,non_candidate_recorded,,B,MG,,MG,A,MG,301,,1_555,C,GDP,,O2B,A,GDP,302,,1_555,2.157,,35,35,True,recorded,False,none,False,False,False,False,False,False,False,False,
