missing_field,missing_field_type,why_needed,current_blocking_effect,proposed_next_evidence_source,proposed_future_gate,resolution_ready_current_step
chain_id,critical_event_key,required for one covalent event identity,minimal_event_key_not_materializable,CovPDB complex card HTML or residue pages; later raw structure annotation if needed,covapie_covpdb_complex_card_metadata_probe_design_gate,False
residue_name,critical_event_key,required for residue identity,minimal_event_key_not_materializable,CovPDB complex card HTML or residue pages; later raw structure annotation if needed,covapie_covpdb_complex_card_metadata_probe_design_gate,False
residue_index,critical_event_key,required for residue identity,minimal_event_key_not_materializable,CovPDB complex card HTML or residue pages; later raw structure annotation if needed,covapie_covpdb_complex_card_metadata_probe_design_gate,False
residue_atom_name,critical_event_key,required for reactive residue atom identity,minimal_event_key_not_materializable,CovPDB complex card HTML or later raw structure annotation,covapie_covpdb_complex_card_metadata_probe_design_gate,False
covalent_bond_atom_pair,critical_event_key,required for preferred event identity,preferred_event_key_not_materializable,CovPDB complex card bond metadata or later PDB/mmCIF struct_conn/LINK annotation,covapie_covpdb_complex_card_metadata_probe_design_gate,False
source_file_relative_path,deferred_raw_path,required only after raw artifact policy is approved,candidate_source_path_not_available,later raw-read/annotation gate output,covapie_batch_scale_raw_read_smoke_design_gate,False
restoration_policy_id,covapie_generated_policy,required to record restoration policy after event evidence,policy_not_assignable_yet,future policy assignment after event metadata is explicit,covapie_candidate_metadata_assembly_design_gate,False
manual_review_status,covapie_generated_policy,required for review state,review_not_assigned,future manual or pipeline review,covapie_candidate_metadata_assembly_design_gate,False
include_in_smoke,covapie_generated_policy,required for smoke allowlist selection,selection_not_assigned,future candidate selection gate,covapie_candidate_allowlist_materialization_smoke_design_gate,False
exclusion_reason,covapie_generated_policy,required for rejected candidate explanation,selection_not_assigned,future candidate selection gate,covapie_candidate_allowlist_materialization_smoke_design_gate,False
