contract_order,contract_id,contract_group,contract_subject,expected_value,observed_value,contract_passed
1,CONTRACT_001,public_identity,Exact10 public result/error types and five constants,7/7,7/7,true
2,CONTRACT_002,dispatcher,new function with Exact10 signature and local registry,true,true,true
3,CONTRACT_003,registry,Exact11 MappingProxyType order,ADMIT_001_to_ADMIT_011,ADMIT_001_to_ADMIT_011,true
4,CONTRACT_004,registry,first ten handler object identities,10/10,10/10,true
5,CONTRACT_005,registry,sole new handler,_evaluate_registered_admit_011,_evaluate_registered_admit_011,true
6,CONTRACT_006,dispatch,precedence,exact_str|known|local_registry|handler,exact_str|known|local_registry|handler,true
7,CONTRACT_007,identity,rule/name/adapter,ADMIT_011|raw_overwrite_forbidden|covapie_admit_011_unified_adapter_v1,ADMIT_011|raw_overwrite_forbidden|covapie_admit_011_unified_adapter_v1,true
8,CONTRACT_008,candidate,fields,raw_target_relative_path,raw_target_relative_path,true
9,CONTRACT_009,context,items,raw_target_relative_path_contract|existing_raw_target_relative_paths,raw_target_relative_path_contract|existing_raw_target_relative_paths,true
10,CONTRACT_010,routing,13-step precedence,frozen,frozen,true
11,CONTRACT_011,mapping,direct lookup counts,contract=1|snapshot=1|candidate=1,contract=1|snapshot=1|candidate=1,true
12,CONTRACT_012,mapping,missing semantics,KeyError_only,KeyError_only,true
13,CONTRACT_013,mapping,subclasses and extra keys,accepted,accepted,true
14,CONTRACT_014,mapping,get/contains/iteration/len/copy,forbidden,forbidden,true
15,CONTRACT_015,candidate,non-Mapping reason,ADMIT_011_CANDIDATE_RECORD_MAPPING_INVALID,ADMIT_011_CANDIDATE_RECORD_MAPPING_INVALID,true
16,CONTRACT_016,candidate,missing reason,raw_target_relative_path_missing,raw_target_relative_path_missing,true
17,CONTRACT_017,candidate,invalid calls,formal0_oracle0,formal0_oracle0,true
18,CONTRACT_018,formal,function/order/count,evaluate_admit_011|candidate_snapshot_contract|1,evaluate_admit_011|candidate_snapshot_contract|1,true
19,CONTRACT_019,formal,exception,propagated_unchanged_oracle0,propagated_unchanged_oracle0,true
20,CONTRACT_020,source,exact type,Admit011EvaluationResult_no_subclass,Admit011EvaluationResult_no_subclass,true
21,CONTRACT_021,source,Exact10 validation,storage_order_types_reconstruction_post_init_full_invariants,storage_order_types_reconstruction_post_init_full_invariants,true
22,CONTRACT_022,source,failure,adapter_not_ready_oracle0_no_Exact13,adapter_not_ready_oracle0_no_Exact13,true
23,CONTRACT_023,oracle,exact type,Admit011EvaluationResultDesign_no_Mapping_assumption,Admit011EvaluationResultDesign_no_Mapping_assumption,true
24,CONTRACT_024,oracle,order/count,candidate_snapshot_contract|1,candidate_snapshot_contract|1,true
25,CONTRACT_025,oracle,Exact10 validation,storage_order_types_reconstruction_full_invariants,storage_order_types_reconstruction_full_invariants,true
26,CONTRACT_026,equivalence,full Exact10,each_value_and_exact_type_equal,each_value_and_exact_type_equal,true
27,CONTRACT_027,projection,Exact10 to Exact13,normalized_equals_validated_no_path_processing,normalized_equals_validated_no_path_processing,true
28,CONTRACT_028,truth,standalone projection,Exact84_including_Exact47,Exact84_including_Exact47,true
29,CONTRACT_029,issue,single transition,ADMIT_011_removed_from_open_coverage,ADMIT_011_removed_from_open_coverage,true
30,CONTRACT_030,boundary,ADMIT_012 to ADMIT_015,not_registered_not_started,not_registered_not_started,true
31,CONTRACT_031,boundary,aggregation,single_rule_only,single_rule_only,true
32,CONTRACT_032,boundary,provider/download/raw/model/checkpoint/training,not_executed,not_executed,true
33,CONTRACT_033,training,feature semantics audit,required_Step12D_smoke_only,required_Step12D_smoke_only,true
34,CONTRACT_034,materializer,publication,set_atomic_renameat2_RENAME_NOREPLACE,set_atomic_renameat2_RENAME_NOREPLACE,true
35,CONTRACT_035,materializer,existing exact set,inode_preserving_noop,inode_preserving_noop,true
36,CONTRACT_036,materializer,mismatch/race,fail_closed_no_repair,fail_closed_no_repair,true
