case_order,case_id,case_group,admission_rule_id,behavior,expected_result_or_error,observed_result_or_error,expected_reason,observed_reason,formal_call_count,oracle_call_count,candidate_access_status,handler_identity_status,case_passed
1,EXACT10_EXACT9_EXACT8_GLOBAL_NON_STR,predecessor_exact10_truth,8,global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
2,EXACT10_EXACT9_EXACT8_GLOBAL_STR_SUBCLASS,predecessor_exact10_truth,ADMIT_008,global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
3,EXACT10_EXACT9_EXACT8_GLOBAL_UNKNOWN,predecessor_exact10_truth,ADMIT_999,global_precedence,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,0,0,not_applicable,not_applicable,true
4,EXACT10_EXACT9_EXACT8_GLOBAL_KNOWN_UNREGISTERED,predecessor_exact10_truth,ADMIT_009,global_precedence,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,not_applicable,not_applicable,true
5,EXACT10_EXACT9_EXACT8_GLOBAL_PRECEDENCE,predecessor_exact10_truth,ADMIT_999,global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
6,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_001,predecessor_exact10_truth,ADMIT_001,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
7,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_002,predecessor_exact10_truth,ADMIT_002,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
8,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_003,predecessor_exact10_truth,ADMIT_003,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
9,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_004,predecessor_exact10_truth,ADMIT_004,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
10,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_005,predecessor_exact10_truth,ADMIT_005,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
11,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_006,predecessor_exact10_truth,ADMIT_006,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
12,EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_007,predecessor_exact10_truth,ADMIT_007,handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
13,EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_NON_STR,predecessor_exact10_truth,6,global_dispatch|global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
14,EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_STR_SUBCLASS,predecessor_exact10_truth,ADMIT_007,global_dispatch|global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
15,EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_UNKNOWN,predecessor_exact10_truth,ADMIT_999,global_dispatch|global_precedence,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,UNIFIED_ADMISSION_RULE_ID_UNKNOWN,0,0,not_applicable,not_applicable,true
16,EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_KNOWN_UNREGISTERED,predecessor_exact10_truth,ADMIT_008,global_dispatch|global_precedence,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,0,0,not_applicable,not_applicable,true
17,EXACT10_EXACT9_EXACT8_PRED_EXACT7_GLOBAL_PRECEDENCE,predecessor_exact10_truth,ADMIT_999,global_dispatch|global_precedence,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID,0,0,not_applicable,not_applicable,true
18,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_001,predecessor_exact10_truth,ADMIT_001,predecessor_identity_and_behavior|handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
19,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_002,predecessor_exact10_truth,ADMIT_002,predecessor_identity_and_behavior|handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
20,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_003,predecessor_exact10_truth,ADMIT_003,predecessor_identity_and_behavior|handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
21,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_004,predecessor_exact10_truth,ADMIT_004,predecessor_identity_and_behavior|handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
22,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_005,predecessor_exact10_truth,ADMIT_005,predecessor_identity_and_behavior|handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
23,EXACT10_EXACT9_EXACT8_PRED_EXACT7_PRED_IDENTITY_ADMIT_006,predecessor_exact10_truth,ADMIT_006,predecessor_identity_and_behavior|handler_identity,identity_reused,identity_reused,,,0,0,not_applicable,true,true
