safety_item,expected_executed,observed_executed,safety_passed
admit011_adapter_runtime,true,true,true
exact11_registry,true,true,true
exact11_dispatcher,true,true,true
source_exact10_validation,true,true,true
independent_oracle_exact10_validation,true,true,true
full_exact10_equivalence,true,true,true
exact13_projection,true,true,true
exact84_projection,true,true,true
predecessor_handler_identity,true,true,true
predecessor_runtime_parity,true,true,true
source_attestation,true,true,true
issue_transition,true,true,true
set_atomic_materialization,true,true,true
deterministic_evidence,true,true,true
feature_semantics_audit_requirement,true,true,true
admit012,false,false,true
admit013,false,false,true
admit014,false,false,true
admit015,false,false,true
evaluate_all_rules,false,false,true
combined_candidate_verdict,false,false,true
cross_rule_aggregation,false,false,true
provider_mapping,false,false,true
real_provider_evaluation,false,false,true
raw_snapshot_build,false,false,true
raw_read,false,false,true
network,false,false,true
download,false,false,true
checkpoint,false,false,true
model_forward_loss,false,false,true
dataloader,false,false,true
training,false,false,true
fine_tune,false,false,true
parameter_update,false,false,true
stage_commit_push,false,false,true
