source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,verified
src/covalent_ext/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1.py,f50c9f4c0940b8e6c34cc0715a4160bf613511d61a1421f9e1bc7d2b71a27b25,1567,11/11,proposal/enumeration hash and typed contracts,predecessor_production_contract,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals.csv,7e72fc157bb52cc2d5cba0c3fd2a7ac88f92bc50a35d001cfff0c2bf3296b4b0,11,11/11,"proposal identity, local center, leaving groups, blank proposal fields",Current11_proposal_records,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_current11_exact_one_boundary_bridge_candidate_enumeration.csv,968105718614996fdee98ace96fd1362c86814ebdb774491328f6db66e380b2a,200,11/11,"Exact200 bridge candidates, admission and record identity",bridge_candidate_enumeration,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_current11_warhead_proposal_readiness_matrix.csv,1c37feec87d2b79d27912d587ad9b8f07e9f3d8f2c8f4d5464f5f19ffc19b916,11,11/11,"candidate counts, human-review readiness, closed authority",proposal_readiness_authority,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_warhead_proposal_materialization_failure_matrix.csv,1a9a96145c190da98740526e9306c1688650dd63e711f84193fedf02fd3fb14d,36,11/11,Exact36 predecessor fail-closed evidence,predecessor_failure_evidence,true
data/derived/covalent_small/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_v1/covapie_current11_pre_reaction_warhead_atom_set_and_attachment_boundary_proposals_manifest.json,fed5f97d177b9a0f91ec7eebf8ea3081662731e50ca6a74f3898f3068a5e6b79,1,11/11,successful predecessor transaction and closed downstream,predecessor_manifest,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,11,11/11,assignment record identity and proposal linkage,Current11_assignment_authority,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_atom_authority.csv,d50b052c2ed2573ccfdcf66470a077744ad11f4a083daee11f20d794b3b23fe7,298,11/11,parent atom namespace and proper-subset validation,parent_heavy_atom_authority,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_bond_authority.csv,26957b9f78217c808d2dc021cfab1a2bf78dd1708c46c49f220ae32a3a09ebbf,309,11/11,"boundary endpoints, order, connectivity",parent_heavy_bond_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,323,11/11,observed-to-parent lineage remains exact,observed_parent_mapping_authority,true
data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,7,11/11,family/rule identity; SMARTS absent,candidate_rule_registry,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_manifest.json,677034c0b8822e0b1476e28d00bb8dda5c8e53f5f42fcda790d9c4a81fa8a90b,1,11/11,parallel review remains unexecuted and downstream closed,parallel_review_manifest,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_review_package_index.csv,b62a9d884b08b3b5132f64ca33531497343f208925e3a64eadd7980eee0d341f,18,11/11,parallel package identity and blank completion state,parallel_review_package_index,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_cys_sg_candidate_class_review_record_templates.csv,596e218d1d29e16d65edfa1c804b63a528668ffc4083d4089427eda556f37ce1,7,7/7 classes,blank class human-review records,parallel_class_review_templates,true
data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_review_packages_v1/covapie_current11_sample_assignment_review_record_templates.csv,662e95d3403a694da15dedd60dbdb81f98a9e404533693643b3721cd83a18bc1,11,11/11,blank sample assignment human-review records,parallel_sample_review_templates,true
