evidence_boundary_id,evidence_boundary_name,evidence_description,boundary_contract_passed
CYS_SG_REVIEW_EVIDENCE_000001,candidate_review_approves_preflight_only,candidate review approves preflight only,True
CYS_SG_REVIEW_EVIDENCE_000002,candidate_review_does_not_authorize_download,candidate review does not authorize download,True
CYS_SG_REVIEW_EVIDENCE_000003,historical_struct_conn_evidence_requires_raw_reconfirmation,historical struct conn evidence requires raw reconfirmation,True
CYS_SG_REVIEW_EVIDENCE_000004,distinct_het_id_is_not_independence_proof,distinct het id is not independence proof,True
CYS_SG_REVIEW_EVIDENCE_000005,ligand_graph_hash_still_required,ligand graph hash still required,True
CYS_SG_REVIEW_EVIDENCE_000006,scaffold_cluster_still_required,scaffold cluster still required,True
CYS_SG_REVIEW_EVIDENCE_000007,protein_accession_still_required,protein accession still required,True
CYS_SG_REVIEW_EVIDENCE_000008,protein_sequence_cluster_still_required,protein sequence cluster still required,True
CYS_SG_REVIEW_EVIDENCE_000009,acquisition_does_not_confirm_independence,acquisition does not confirm independence,True
CYS_SG_REVIEW_EVIDENCE_000010,raw_crosscheck_does_not_alone_confirm_independence,raw crosscheck does not alone confirm independence,True
CYS_SG_REVIEW_EVIDENCE_000011,final_leakage_review_required_before_split,final leakage review required before split,True
CYS_SG_REVIEW_EVIDENCE_000012,feature_semantics_audit_required_before_training,feature semantics audit required before training,True
