case_order,case_id,case_group,source_case_id,expected_result_or_error,observed_result_or_error,candidate_key_access_count,download_lookup_count,authority_lookup_count,formal_call_count,oracle_call_count,dispatch_handler_call_count,first_twelve_handler_identity_preserved,case_passed
1,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_NON_STR,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_NON_STR,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}",0,0,0,0,0,0,true,true
2,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_STR_SUBCLASS,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_STR_SUBCLASS,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b8de9acee1789586d5c3f460ca5d238ab8f2de715332311f691f70c58ebe13d6""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b8de9acee1789586d5c3f460ca5d238ab8f2de715332311f691f70c58ebe13d6""}",0,0,0,0,0,0,true,true
3,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_UNKNOWN,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_UNKNOWN,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""94c37cc3198774c117ecc3f90f44f049caa2503208a5ecd38b479213094e95f5""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""94c37cc3198774c117ecc3f90f44f049caa2503208a5ecd38b479213094e95f5""}",0,0,0,0,0,0,true,true
4,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_KNOWN_UNREGISTERED,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_KNOWN_UNREGISTERED,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""0d917ed3292f08ee38fbddba04cb851034912d530fc307228a2448f66bfa78a3""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""0d917ed3292f08ee38fbddba04cb851034912d530fc307228a2448f66bfa78a3""}",0,0,0,0,0,0,true,true
5,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_PRECEDENCE,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_GLOBAL_PRECEDENCE,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""cd5a6f20b65634e5fc2e15ecebaf23b775b2ccb4cdec6871be2f89b9846a1679""}",0,0,0,0,0,0,true,true
6,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_001,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_001,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""79608d74ead3a088b5298a8bd111539ec81b92e688f89dd50790eb6e1b396b97""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""79608d74ead3a088b5298a8bd111539ec81b92e688f89dd50790eb6e1b396b97""}",0,0,0,0,0,0,true,true
7,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_002,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_002,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b50677edbab177b1216094b6b1713275af46dd3db614fdc485e5d5f61c25052f""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""b50677edbab177b1216094b6b1713275af46dd3db614fdc485e5d5f61c25052f""}",0,0,0,0,0,0,true,true
8,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_003,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_003,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""35df65f02374e11bd3f2e4bd8fc0941d7747ebbbc50982bce6c9bb24a193cee4""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""35df65f02374e11bd3f2e4bd8fc0941d7747ebbbc50982bce6c9bb24a193cee4""}",0,0,0,0,0,0,true,true
9,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_004,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_004,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""84cd696ab57bf8fe5874bfb1b9f1a54b0bab2308e60b1eee82f24d601629a766""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""84cd696ab57bf8fe5874bfb1b9f1a54b0bab2308e60b1eee82f24d601629a766""}",0,0,0,0,0,0,true,true
10,EXACT12_EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_005,predecessor_exact12_all_cases,EXACT11_EXACT10_EXACT9_EXACT8_PRED_IDENTITY_ADMIT_005,"{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}","{""committed_case_passed"":true,""exact_handler_identity"":true,""expected_result_or_error_sha256"":""d3a18db64806ed9fb39b213f9189f00ea5bfe29ef7ac4679f33296fa15a9c6ae""}",0,0,0,0,0,0,true,true
