audit_order,audit_item,expected_value,observed_value,audit_passed
1,shared_identity:UnifiedAdmissionRuleEvaluation,True,True,true
2,shared_identity:UnifiedAdmissionDispatchError,True,True,true
3,shared_identity:RESULT_SCHEMA_VERSION,True,True,true
4,shared_identity:RESULT_FIELDS,True,True,true
5,shared_identity:DISPATCH_ERROR_FIELDS,True,True,true
6,shared_identity:DISPATCH_ERROR_CODES,True,True,true
7,shared_identity:OUTCOME_VOCABULARY,True,True,true
8,predecessor_registry_order,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012')",true
9,successor_registry_order,"('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')","('ADMIT_001', 'ADMIT_002', 'ADMIT_003', 'ADMIT_004', 'ADMIT_005', 'ADMIT_006', 'ADMIT_007', 'ADMIT_008', 'ADMIT_009', 'ADMIT_010', 'ADMIT_011', 'ADMIT_012', 'ADMIT_013')",true
10,handler_identity:ADMIT_001,True,True,true
11,handler_identity:ADMIT_002,True,True,true
12,handler_identity:ADMIT_003,True,True,true
13,handler_identity:ADMIT_004,True,True,true
14,handler_identity:ADMIT_005,True,True,true
15,handler_identity:ADMIT_006,True,True,true
16,handler_identity:ADMIT_007,True,True,true
17,handler_identity:ADMIT_008,True,True,true
18,handler_identity:ADMIT_009,True,True,true
19,handler_identity:ADMIT_010,True,True,true
20,handler_identity:ADMIT_011,True,True,true
