contract_order,contract_id,contract_group,contract_subject,expected_value,observed_value,contract_passed
1,CONTRACT_001,identity,Exact12 predecessor,object_identity_preserved,object_identity_preserved,true
2,CONTRACT_002,identity,shared Exact13 result,object_identity_preserved,object_identity_preserved,true
3,CONTRACT_003,identity,shared dispatch error,object_identity_preserved,object_identity_preserved,true
4,CONTRACT_004,identity,shared constants,5/5_identity_preserved,5/5_identity_preserved,true
5,CONTRACT_005,dispatcher,successor function,distinct_new_function_object,distinct_new_function_object,true
6,CONTRACT_006,dispatcher,signature,exact_predecessor_match,exact_predecessor_match,true
7,CONTRACT_007,dispatcher,precedence,exact_str|known|callable|ready|local_handler,exact_str|known|callable|ready|local_handler,true
8,CONTRACT_008,registry,order,ADMIT_001_to_ADMIT_013,ADMIT_001_to_ADMIT_013,true
9,CONTRACT_009,registry,first twelve handlers,12/12_identity_preserved,12/12_identity_preserved,true
10,CONTRACT_010,registry,ADMIT_013 handler,_evaluate_registered_admit_013,_evaluate_registered_admit_013,true
11,CONTRACT_011,registry,immutability,MappingProxyType,MappingProxyType,true
12,CONTRACT_012,sets,known,ADMIT_001_to_ADMIT_015,ADMIT_001_to_ADMIT_015,true
13,CONTRACT_013,sets,callable,ADMIT_001_to_ADMIT_013,ADMIT_001_to_ADMIT_013,true
14,CONTRACT_014,sets,adapter ready,ADMIT_001_to_ADMIT_013,ADMIT_001_to_ADMIT_013,true
15,CONTRACT_015,sets,legacy adapter not ready,empty,empty,true
16,CONTRACT_016,routing,five envelope signature,frozen,frozen,true
17,CONTRACT_017,routing,precedence,batch|evaluation_mapping|download_mapping|stage|candidate_mapping|download4|authority3|formal|source|oracle|equality|projection,batch|evaluation_mapping|download_mapping|stage|candidate_mapping|download4|authority3|formal|source|oracle|equality|projection,true
18,CONTRACT_018,context,batch reason,ADMIT_013_BATCH_CONTEXT_MUST_BE_NONE,ADMIT_013_BATCH_CONTEXT_MUST_BE_NONE,true
19,CONTRACT_019,context,evaluation reason,ADMIT_013_EVALUATION_CONTEXT_MAPPING_REQUIRED,ADMIT_013_EVALUATION_CONTEXT_MAPPING_REQUIRED,true
20,CONTRACT_020,context,download reason,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_MAPPING_REQUIRED,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_MAPPING_REQUIRED,true
21,CONTRACT_021,context,stage reason,ADMIT_013_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,ADMIT_013_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,true
22,CONTRACT_022,context,download lookup reason,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_LOOKUP_FAILED,ADMIT_013_DOWNLOAD_RESULT_CONTEXT_LOOKUP_FAILED,true
23,CONTRACT_023,context,evaluation lookup reason,ADMIT_013_EVALUATION_CONTEXT_LOOKUP_FAILED,ADMIT_013_EVALUATION_CONTEXT_LOOKUP_FAILED,true
24,CONTRACT_024,candidate,non-Mapping,fixed_invalid_Exact13,fixed_invalid_Exact13,true
25,CONTRACT_025,candidate,key access,zero,zero,true
26,CONTRACT_026,download,required Exact4,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,download_result_status|observed_http_status|observed_content_length_bytes|observed_sha256,true
27,CONTRACT_027,download,first KeyError,omit_keyword_stop_and_skip_authority,omit_keyword_stop_and_skip_authority,true
28,CONTRACT_028,download,other exception,context_routing_invalid,context_routing_invalid,true
29,CONTRACT_029,authority,optional Exact3,expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,expected_content_length_bytes|expected_sha256|explicit_integrity_verdict,true
30,CONTRACT_030,authority,KeyError,omit_and_continue,omit_and_continue,true
31,CONTRACT_031,authority,other exception,context_routing_invalid,context_routing_invalid,true
32,CONTRACT_032,formal,call count,exactly_once,exactly_once,true
33,CONTRACT_033,formal,exception,propagated_oracle_zero,propagated_oracle_zero,true
34,CONTRACT_034,source,exact type,Admit013EvaluationResult,Admit013EvaluationResult,true
35,CONTRACT_035,source,Exact12,storage_order_types_reconstruction_invariants,storage_order_types_reconstruction_invariants,true
36,CONTRACT_036,oracle,exact callable,classify_admit_013_formal_evaluator_interface_design,classify_admit_013_formal_evaluator_interface_design,true
37,CONTRACT_037,oracle,call count,exactly_once_after_source,exactly_once_after_source,true
38,CONTRACT_038,equality,Exact12,exact_type_and_value_all_fields,exact_type_and_value_all_fields,true
39,CONTRACT_039,projection,normalized,download4_then_provided_valid_authority3,download4_then_provided_valid_authority3,true
