contract_item_id,contract_area,requirement,expected_value,observed_value,contract_passed,blocking_reason
P5B_C001,lineage,P4 predecessor,covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1,covapie_bulk_download_admission_covalent_residue_locator_parser_provider_provenance_export_design_gate_v1,true,
P5B_C002,lineage,exact source input count,9,9,true,
P5B_C003,lineage,P4 frozen payload and P3 field contract,true|20|22,true|20|22,true,
P5B_C004,scope,synthetic only implementation,true,true,true,
P5B_C005,scope,no raw structure access,true,true,true,
P5B_C006,scope,historical parser source unchanged,true,true,true,
P5B_C007,scope,expansion parser source unchanged,true,true,true,
P5B_C008,scope,canonical five masks include B3,A|B|B2|B3|C,A|B|B2|B3|C,true,
P5B_C009,raw_parser,dot token preserved,true,true,true,
P5B_C010,raw_parser,question token preserved,true,true,true,
P5B_C011,raw_parser,parsed empty token preserved,true,true,true,
P5B_C012,raw_parser,missing tag determined by tags,true,true,true,
P5B_C013,raw_parser,row ordinal is one based,true,true,true,
P5B_C014,raw_parser,raw values are immutable and uncoerced,true,true,true,
P5B_C015,compatibility,atom-site tags match historical,true,true,true,
P5B_C016,compatibility,atom-site rows match historical,true,true,true,
P5B_C017,compatibility,atom-site status matches historical,true,true,true,
P5B_C018,compatibility,struct-conn tags match historical,true,true,true,
P5B_C019,compatibility,struct-conn rows match historical,true,true,true,
P5B_C020,compatibility,struct-conn status matches historical,true,true,true,
P5B_C021,compatibility,raw and compatibility views are independent,true,true,true,
P5B_C022,event,ptnr1 side is explicit,ptnr1,ptnr1,true,
P5B_C023,event,ptnr2 side is explicit,ptnr2,ptnr2,true,
P5B_C024,event,unique matched atom row bound,true,true,true,
P5B_C025,event,missing atom row rejected,MATCHED_ATOM_SITE_ROW_NOT_FOUND,MATCHED_ATOM_SITE_ROW_NOT_FOUND,true,
P5B_C026,event,multiple atom rows rejected,MULTIPLE_MATCHED_ATOM_SITE_ROWS,MULTIPLE_MATCHED_ATOM_SITE_ROWS,true,
P5B_C027,provider,exact five P3 fields,covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,covalent_residue_locator_namespace|covalent_residue_insertion_code_state|covalent_residue_insertion_code|covalent_residue_locator_provenance_source_id|covalent_residue_locator_provenance_sha256,true,
P5B_C028,provider,exported pass is materialized,5,5,true,
P5B_C029,provider,exported blocking retains five fields,5,5,true,
P5B_C030,provider,rejected rows preserve insertion and provider truth separation,6|true|present:A:false,6|true|present:A:false,true,
P5B_C031,provider,P4 helpers are dynamically accessed,true,true,true,
P5B_C032,provider,source ID and SHA contracts pass,true,true,true,
P5B_C033,cases,exact synthetic case count,16,16,true,
P5B_C034,cases,exact sidecar column count,33,33,true,
P5B_C035,cases,status counts are five five six,5|5|6,5|5|6,true,
P5B_C036,cases,canonical case ordering,P5B_001_PTNR1_EXPLICIT_A|P5B_002_PTNR2_EXPLICIT_1|P5B_003_DOT_DOT|P5B_004_QUESTION_QUESTION|P5B_005_TAGS_MISSING|P5B_006_PARSED_EMPTY|P5B_007_EXPLICIT_CONFLICT|P5B_008_EXPLICIT_DOT_CONFLICT|P5B_009_PARTNER_TAG_MISMATCH|P5B_010_AUTH_CONFLICT_SELECT_AUTH|P5B_011_AUTH_CONFLICT_SELECT_LABEL|P5B_012_MIXED_NAMESPACE|P5B_013_ATOM_ROW_MISSING|P5B_014_MULTIPLE_ATOM_ROWS|P5B_015_INVALID_ATOM_ROW_IDENTITY|P5B_016_SOURCE_ID_COLLISION,P5B_001_PTNR1_EXPLICIT_A|P5B_002_PTNR2_EXPLICIT_1|P5B_003_DOT_DOT|P5B_004_QUESTION_QUESTION|P5B_005_TAGS_MISSING|P5B_006_PARSED_EMPTY|P5B_007_EXPLICIT_CONFLICT|P5B_008_EXPLICIT_DOT_CONFLICT|P5B_009_PARTNER_TAG_MISMATCH|P5B_010_AUTH_CONFLICT_SELECT_AUTH|P5B_011_AUTH_CONFLICT_SELECT_LABEL|P5B_012_MIXED_NAMESPACE|P5B_013_ATOM_ROW_MISSING|P5B_014_MULTIPLE_ATOM_ROWS|P5B_015_INVALID_ATOM_ROW_IDENTITY|P5B_016_SOURCE_ID_COLLISION,true,
P5B_C037,readiness,additive synthetic adapter implemented,true,true,true,
P5B_C038,readiness,real parser and provider integration remain false,false|false,false|false,true,
P5B_C039,readiness,real samples remain eleven unknown zero absence,11|11|0,11|11|0,true,
P5B_C040,readiness,ADMIT_004 and E1 remain false,false|false,false|false,true,
P5B_C041,readiness,candidate download and training remain false,false|false|false,false|false|false,true,
P5B_C042,readiness,feature semantics audit remains required,true,true,true,
