smoke_case_id,sample_preparation_input_id,pdb_id,conn_id,residue_partner_side,locator_namespace,struct_conn_residue_auth_asym_id,struct_conn_residue_auth_seq_id,struct_conn_residue_label_asym_id,struct_conn_residue_label_seq_id,selected_chain_id,selected_residue_index,auth_label_conflict_observed,matched_atom_site_id,matched_residue_atom_name,struct_conn_insertion_source_tag,struct_conn_insertion_raw_value,struct_conn_token_class,atom_site_insertion_source_tag,atom_site_insertion_raw_value,atom_site_token_class,resolved_insertion_state,resolved_insertion_value,insertion_evidence_agreement,insertion_blocks_admit_004,insertion_blocking_reason,covalent_residue_locator_namespace,covalent_residue_insertion_code_state,covalent_residue_insertion_code,covalent_residue_locator_provenance_source_id,covalent_residue_locator_provenance_sha256,provider_export_status,provider_export_blocking_reason
P5B_001_PTNR1_EXPLICIT_A,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,A,explicit_token,_atom_site.pdbx_PDB_ins_code,A,explicit_token,present,A,true,false,,auth,present,A,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,55bab535fffc6fbccd910f0cad3f3c73d600592ece9b7c60dd363ec8be1da67c,exported_pass,
P5B_002_PTNR2_EXPLICIT_1,P5B_SAMPLE,TEST,covale1,ptnr2,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr2_PDB_ins_code,1,explicit_token,_atom_site.pdbx_PDB_ins_code,1,explicit_token,present,1,true,false,,auth,present,1,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr2,ba3e7da7c5ab296c3dd99506eceaaa2d85aed2f89ae2dca9659778e0d07abb33,exported_pass,
P5B_003_DOT_DOT,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,.,dot_not_applicable,_atom_site.pdbx_PDB_ins_code,.,dot_not_applicable,absent,,true,false,,auth,absent,,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,5532262b2c3f36bf1003ca8780b07669f18953adcb15010ccaf8779d13f6c32f,exported_pass,
P5B_004_QUESTION_QUESTION,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,?,question_unknown,_atom_site.pdbx_PDB_ins_code,?,question_unknown,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,36f6d44a4181cf53d0c84c07a74af7f67119b66c05f3b658587eab3606f5f6b9,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
P5B_005_TAGS_MISSING,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,,,tag_missing,,,tag_missing,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,16adf4a8430854113219813ea4b1449d5bee7717f020468b5bc96f9f0a760a0c,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
P5B_006_PARSED_EMPTY,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,,parsed_empty,_atom_site.pdbx_PDB_ins_code,,parsed_empty,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN,auth,unknown,,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,53ea404b8f8c846330899387c3499dc33fd233fc425490a85b37f58a797fc264,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_PROVENANCE_UNKNOWN
P5B_007_EXPLICIT_CONFLICT,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,A,explicit_token,_atom_site.pdbx_PDB_ins_code,B,explicit_token,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_SOURCE_CONFLICT,auth,unknown,,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,7cc6042ffbc3bf217755270d8a30b09a95af2aec210857b0799a5c8ee1001c6c,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_SOURCE_CONFLICT
P5B_008_EXPLICIT_DOT_CONFLICT,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,A,explicit_token,_atom_site.pdbx_PDB_ins_code,.,dot_not_applicable,unknown,,false,true,COVALENT_RESIDUE_INSERTION_CODE_SOURCE_CONFLICT,auth,unknown,,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,a9e9c9566490d9326f7ce27126403ecef80b735fc1d906e09c74e6eab3ea0394,exported_blocking,COVALENT_RESIDUE_INSERTION_CODE_SOURCE_CONFLICT
P5B_009_PARTNER_TAG_MISMATCH,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,A,25,A,25,false,ATOM1,SG,_struct_conn.pdbx_ptnr2_PDB_ins_code,A,,_atom_site.pdbx_PDB_ins_code,A,,,,,,,,,,,,rejected,STRUCT_CONN_INSERTION_SOURCE_TAG_PARTNER_SIDE_MISMATCH
P5B_010_AUTH_CONFLICT_SELECT_AUTH,P5B_SAMPLE,TEST,covale1,ptnr1,auth,A,25,X,99,A,25,true,ATOM1,SG,_struct_conn.pdbx_ptnr1_PDB_ins_code,A,explicit_token,_atom_site.pdbx_PDB_ins_code,A,explicit_token,present,A,true,false,,auth,present,A,covapie:residue-locator:P5B_SAMPLE:covale1:ptnr1,c38116c07fc24155571886102add68e81b378b1796a592c8c2d1c7417a39c595,exported_pass,
