contract_area,contract_item,expected_value,observed_value,source_or_rationale,verified
semantic_encoding,canonical_encoding_kind,structured_role_labeled_record,structured_role_labeled_record,role-labeled identity removes tuple-order ambiguity,true
canonical_record,canonical_pair_record_schema_version,covapie_covalent_bond_atom_pair_canonical_record_v1,covapie_covalent_bond_atom_pair_canonical_record_v1,exact canonical record schema discriminator,true
canonical_record,canonical_pair_record_exact_fields,"pair_record_schema_version,residue_atom_locator,ligand_atom_locator,explicit_bond_authority_class,explicit_bond_provenance_id","pair_record_schema_version,residue_atom_locator,ligand_atom_locator,explicit_bond_authority_class,explicit_bond_provenance_id",five-field frozen canonical record,true
canonical_record,canonical_pair_record_exact_types,str|CovalentAtomLocatorContractDesign|CovalentAtomLocatorContractDesign|str|str,str|CovalentAtomLocatorContractDesign|CovalentAtomLocatorContractDesign|str|str,nested locators retain exact types,true
canonical_record,canonical_record_validator_available,true,true,pure exact-type fail-closed validator,true
canonical_record,canonical_record_roles_enforced,target_residue_atom|ligand_atom,target_residue_atom|ligand_atom,roles are fields rather than tuple position,true
canonical_record,canonical_record_event_identity_consistent,true,true,both locators require the same nonempty event_id,true
canonical_record,canonical_record_pdb_identity_consistent,true,true,both locators require the same nonempty pdb_id,true
canonical_record,canonical_record_model_identity_consistent,true,true,both locators require the same model_id; both empty is allowed,true
canonical_record,explicit_authority_field_is_part_of_record,true,true,authority is embedded canonical identity evidence,true
canonical_record,explicit_provenance_id_is_part_of_record,true,true,nonempty provenance is embedded in the record,true
legacy,legacy_projection_function_available,true,true,projection accepts only a valid canonical record,true
public_api,frozen_pair_contract_dataclass_fields,"schema_version,outcome,canonical_encoding_kind,pair_role_semantics,explicit_bond_authority_required,accepted_explicit_bond_authority_classes,distance_only_inference_forbidden,positive_pair_cardinality_policy,residue_candidate_scope,ligand_candidate_scope,residue_model_index_space,ligand_model_index_space,model_index_base,mapping_cardinality_policy,missing_mapping_policy,ambiguous_mapping_policy,duplicate_evidence_policy,conflicting_pair_policy,zero_pair_policy,multi_pair_policy,legacy_string_role,canonical_masks_share_same_pair_identity,pair_tensor_materialized,pair_tensor_shape_defined,pair_loss_mask_defined,atom_pair_issue_resolved,ready_for_contract_validation,ready_for_tensorization,ready_for_training,recommended_next_step","schema_version,outcome,canonical_encoding_kind,pair_role_semantics,explicit_bond_authority_required,accepted_explicit_bond_authority_classes,distance_only_inference_forbidden,positive_pair_cardinality_policy,residue_candidate_scope,ligand_candidate_scope,residue_model_index_space,ligand_model_index_space,model_index_base,mapping_cardinality_policy,missing_mapping_policy,ambiguous_mapping_policy,duplicate_evidence_policy,conflicting_pair_policy,zero_pair_policy,multi_pair_policy,legacy_string_role,canonical_masks_share_same_pair_identity,pair_tensor_materialized,pair_tensor_shape_defined,pair_loss_mask_defined,atom_pair_issue_resolved,ready_for_contract_validation,ready_for_tensorization,ready_for_training,recommended_next_step",exact public contract design API,true
public_api,frozen_locator_dataclass_fields,"locator_schema_version,entity_role,event_id,pdb_id,model_id,auth_asym_id,auth_seq_id,insertion_code,label_asym_id,label_seq_id,comp_id,atom_name,altloc","locator_schema_version,entity_role,event_id,pdb_id,model_id,auth_asym_id,auth_seq_id,insertion_code,label_asym_id,label_seq_id,comp_id,atom_name,altloc",exact structured locator API,true
atom_locator,entity_role_vocabulary,target_residue_atom|ligand_atom,target_residue_atom|ligand_atom,closed role vocabulary,true
explicit_authority,accepted_authority_classes,validated_struct_conn|explicit_curated_covalent_annotation,validated_struct_conn|explicit_curated_covalent_annotation,positive pairs require explicit authority,true
explicit_authority,distance_only_inference_forbidden,true,true,distance is QA evidence only,true
cardinality,positive_pair_cardinality,exactly_one_positive_explicit_pair_per_sample,exactly_one_positive_explicit_pair_per_sample,V1 exact-one scope,true
atom_locator,locator_uniqueness,exactly_one_match_per_role_or_fail_closed,exactly_one_match_per_role_or_fail_closed,no nearest or first-row fallback,true
atom_locator,locator_syntax_is_not_mapping_success,true,true,"empty optional fields do not prove absence, uniqueness, or lack of ambiguity",true
future_mapping,model_index_base,0,0,derived indices are zero-based,true
future_mapping,model_index_spaces,pocket_atom_table_row_index|ligand_atom_table_row_index,pocket_atom_table_row_index|ligand_atom_table_row_index,model-facing future derived views,true
legacy,legacy_string_role,legacy_display_and_backward_compatibility_projection,legacy_display_and_backward_compatibility_projection,legacy string is not identity or tensor target,true
legacy,legacy_projection_grammar,residue_atom_name--ligand_atom_name,residue_atom_name--ligand_atom_name,delimiter=--; visible residue-then-ligand order,true
mask_invariance,canonical_masks_share_same_pair_identity,true,true,A|B|B2|B3|C share the semantic pair,true
boundary,tensor_model_training,not_materialized_or_implemented,not_materialized_or_implemented,design evidence only; feature semantics remains unaudited,true
