source_path,BASE_SHA256,source_row_count,Current11_coverage,fields_actually_used,authority_class,verified
src/covalent_ext/covapie_current11_observed_to_parent_atom_projection_authority_v1.py,002ff3367c5e68d8e5bde77e5460cc0f8bc83c5102157a5fd1ef88d53b73ecc5,1570,11/11,BASE identity; predecessor lifecycle; projection authority contract,predecessor_production_contract,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_mapping_authority.csv,f803e0c5fb2585c8dae31dbff254749496f897f4bf9a5103455c6c675a132a1e,323,11/11,sample identity; reactive atom; element; formal charge; graph SHA,observed_to_parent_atom_mapping_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_parent_and_observed_projected_bond_authority.csv,bd31b7c074c3d4226c26bfe0210b9c3460f38c5087f1157b1167749f91bfffe0,337,11/11,parent endpoints; bond order; projection disposition; graph SHA,sample_expanded_parent_and_observed_bond_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_projection_readiness_matrix.csv,ec7bb2c203a7b13f525c413171b734fdd9f8af934b6e7e8eaf3fc6ae141128a0,11,11/11,projection validity; reactive availability; readiness blockers,observed_projection_readiness_authority,true
data/derived/covalent_small/covapie_current11_observed_to_parent_atom_projection_authority_v1/covapie_current11_observed_to_parent_atom_projection_authority_manifest.json,e553e9cb1518cd2c9465772758539e9610c8f81cd702dd0440e99fbd143fc0a7,1,11/11,transaction state; counts; source SHA; model module boundary,observed_projection_manifest_authority,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_atom_authority.csv,d50b052c2ed2573ccfdcf66470a077744ad11f4a083daee11f20d794b3b23fe7,298,11/11,CCD atom ID; element; formal charge; component graph SHA,sha_attested_parent_atom_graph_authority,true
data/derived/covalent_small/covapie_exact9_audited_local_ccd_parent_graph_authority_v1/covapie_exact9_parent_heavy_bond_authority.csv,26957b9f78217c808d2dc021cfab1a2bf78dd1708c46c49f220ae32a3a09ebbf,309,11/11,CCD bond endpoints; normalized bond order; component graph SHA,sha_attested_parent_bond_graph_authority,true
data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,11,11/11,reaction delta; leaving groups; missing parent atoms; reactive atom,BASE_reaction_delta_evidence,true
data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,22,11/11,exact-one ligand and target atom mappings; mapping verification,canonical_atom_pair_mapping_validation_authority,true
data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,11,11/11,sample identity; CYS residue number; SG; ligand reactive atom,Current11_protein_residue_and_atom_pair_authority,true
