key_group,required_keys,observed_in_all_getitems,python_type_policy_satisfied,tensorization_status,getitem_contract_qa_passed,qa_comment
identity_metadata,identity.dataloader_interface_smoke_row_id;identity.final_dataset_row_id;identity.sample_id;identity.extracted_event_id,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
split_metadata,identity.split_unit_id,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
protein_table_path_refs,path_refs.protein_pocket_atom_table_path,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
ligand_table_path_refs,path_refs.ligand_atom_table_path,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
atom_count_metadata,atom_counts.protein_atom_row_count_for_event;atom_counts.ligand_atom_row_count_for_event,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
mask_task_selector,mask.mask_task_name;mask.mask_task_name_is_source_of_truth,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
mask_alias_display_only,mask.mask_task_alias;mask.mask_task_alias_is_display_only,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
conditioning_metadata,conditioning.conditioning_mode;conditioning.covalent_residue_conditioned,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
covalent_geometry_metadata,covalent_geometry.covalent_bond_atom_pair;covalent_geometry.covalent_bond_distance_angstrom,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
future_tensor_key_names_as_strings,future_keys.future_protein_xyz_key;future_keys.future_ligand_xyz_key;future_keys.future_mask_selector_key,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
blocker_flags,blockers.feature_semantics_known_for_training;blockers.unknown_atom_feature_policy_finalized_for_training;blockers.ready_for_training,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
checkpoint_compatibility_refs,checkpoint_compatibility_refs.checkpoint_compatibility_contract_path,True,True,not_tensorized_metadata_only,True,getitem contract QA preserves metadata-only key groups
