metadata_dataset_row_id,getitem_index,dataloader_interface_smoke_row_id,final_dataset_row_id,sample_id,split_unit_id,extracted_event_id,mask_task_name,mask_task_alias,source_interface_preview_row_found,metadata_dataset_row_id_deterministic,csv_json_row_consistent,row_order_preserved,metadata_preview_rewritten_current_step,contains_tensor_values,ready_for_training,preview_integrity_qa_passed,qa_comment
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,0,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,warhead_only,A,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,1,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,linker_plus_warhead,B,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,2,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,scaffold_plus_warhead,B2,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,3,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,scaffold_only,B3,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,4,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000001,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,scaffold_plus_linker_plus_warhead,C,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,5,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,warhead_only,A,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,6,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,linker_plus_warhead,B,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,7,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,scaffold_plus_warhead,B2,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,8,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,scaffold_only,B3,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,9,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000002,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,scaffold_plus_linker_plus_warhead,C,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,10,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,sample::covpdb::1A46::00K::H:SER195:OG-C::warhead_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,warhead_only,A,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,11,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,linker_plus_warhead,B,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,12,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,scaffold_plus_warhead,B2,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,13,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_only,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,scaffold_only,B3,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
metadata_dataloader_smoke::dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,14,dataloader_interface_smoke::final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,final_dataset_smoke::sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,sample::covpdb::1A46::00K::H:SER195:OG-C::scaffold_plus_linker_plus_warhead,COVAPIE_SPLIT_UNIT_SMOKE_000003,extracted_event::covpdb::1A46::00K::H:SER195:OG-C,scaffold_plus_linker_plus_warhead,C,True,True,True,True,False,False,False,True,metadata smoke preview validates without rewrite
