safety_order,safety_item,expected,observed,safety_passed
1,actual_dispatcher_calls,0,0,true
2,actual_handler_calls,0,0,true
3,actual_aggregator_calls,0,0,true
4,network,false,false,true
5,provider,false,false,true
6,download,false,false,true
7,raw,false,false,true
8,torch,false,false,true
9,model,false,false,true
10,checkpoint,false,false,true
11,dataloader,false,false,true
12,forward,false,false,true
13,loss,false,false,true
14,backward,false,false,true
15,optimizer,false,false,true
16,scheduler,false,false,true
17,parameter_update,false,false,true
18,checkpoint_write,false,false,true
19,training_result,false,false,true
20,current_permission,false,false,true
21,authorized_execution_count,0,0,true
22,orchestrator_implementation,false,false,true
23,training_integration,false,false,true
24,action_permission,false,false,true
25,feature_audit_completed,false,false,true
26,ready_for_training,false,false,true
27,Exact15_runtime_modified,false,false,true
28,aggregator_implementation_modified,false,false,true
29,combined_permission_contract_modified,false,false,true
30,design_oracle_io,false,false,true
