sample_id,extracted_event_id,allowlist_entry_id,candidate_metadata_id,pdb_id,het_code,mask_task_name,mask_task_alias,row_index,schema_order_matches_contract,sample_id_deterministic,sample_id_unique,source_event_found,source_event_extraction_success,source_event_geometry_qa_passed,protein_atom_rows_count_matches_source,ligand_atom_rows_count_matches_source,canonical_mask_task_valid,canonical_mask_alias_matches_name,b3_scaffold_only_alias_correct,annotation_blockers_preserved,auxiliary_label_blockers_preserved,feature_semantics_blocker_preserved,leakage_split_blocker_preserved,split_assignment_status_not_written,ready_for_training_false,row_identity_qa_passed,qa_comment
sample::covpdb::1A3B::T29::H:SER195:OG-B::warhead_only,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,allowlist::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,warhead_only,A,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::linker_plus_warhead,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,allowlist::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,linker_plus_warhead,B,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_warhead,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,allowlist::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_warhead,B2,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_only,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,allowlist::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_only,B3,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3B::T29::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,extracted_event::covpdb::1A3B::T29::H:SER195:OG-B,allowlist::covpdb::1A3B::T29::H:SER195:OG-B,covpdb::1A3B::T29::H:SER195:OG-B,1A3B,T29,scaffold_plus_linker_plus_warhead,C,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::warhead_only,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,allowlist::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,warhead_only,A,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::linker_plus_warhead,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,allowlist::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,linker_plus_warhead,B,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_warhead,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,allowlist::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_warhead,B2,8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_only,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,allowlist::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_only,B3,9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
sample::covpdb::1A3E::T16::H:SER195:OG-B::scaffold_plus_linker_plus_warhead,extracted_event::covpdb::1A3E::T16::H:SER195:OG-B,allowlist::covpdb::1A3E::T16::H:SER195:OG-B,covpdb::1A3E::T16::H:SER195:OG-B,1A3E,T16,scaffold_plus_linker_plus_warhead,C,10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,row_identity_validated
