git_safety_item,command_or_check,required_status,current_step_status,git_safety_audit_passed,blocking_reasons
raw_files_untracked,git ls-files raw storage root,empty,passed,True,
raw_files_unstaged,git diff --cached raw storage root,empty,passed,True,
raw_files_not_read_current_step,raw content access policy,not read,passed,True,
derived_output_no_forbidden_binary_artifacts,find step13bi output forbidden suffixes,empty,passed,True,
no_new_sample_index_written_current_step,find sample_index outputs under step13bi root,empty,passed,True,
no_final_dataset_written,find final_dataset under step13bi root,empty,passed,True,
no_split_assignments_written,find split_assignments under step13bi root,empty,passed,True,
no_leakage_matrix_written,find leakage_matrix under step13bi root,empty,passed,True,
metadata_csv_unchanged,metadata CSV hash,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,passed,True,
step13bh_artifacts_unchanged,git diff step13bh root,empty,passed,True,
step13bg_artifacts_unchanged,git diff step13bg root,empty,passed,True,
step13bf_artifacts_unchanged,git diff step13bf root,empty,passed,True,
step13be_artifacts_unchanged,git diff step13be root,empty,passed,True,
step13ai_inventory_artifacts_unchanged,git diff step13ai root,empty,passed,True,
protected_source_diff_empty,git diff protected source,empty,passed,True,
original_dataloader_diff_empty,git diff dataset.py data/prepare_crossdocked.py,empty,passed,True,
