schema_qa_id,schema_field_position,sample_index_field,expected_data_type,required,nullable,csv_field_position_matches,csv_column_present,json_field_present_all_rows,csv_json_type_semantics_consistent,non_null_validation_passed,field_semantic_validation_passed,schema_qa_status,blocking_reasons
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000001,1,sample_index_row_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000002,2,sample_preparation_input_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000003,3,sample_execution_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000004,4,sample_qa_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000005,5,pdb_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000006,6,expected_het_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000007,7,sample_artifact_root,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000008,8,protein_atom_table_path,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000009,9,ligand_atom_table_path,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000010,10,pocket_atom_table_path,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000011,11,covalent_event_table_path,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000012,12,ligand_residue_atom_pair_table_path,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000013,13,sample_preparation_audit_path,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000014,14,protein_atom_count,number,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000015,15,ligand_atom_count,number,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000016,16,pocket_atom_count,number,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000017,17,covalent_event_count,number,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000018,18,ligand_residue_atom_pair_count,number,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000019,19,covalent_residue_name,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000020,20,covalent_residue_chain_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000021,21,covalent_residue_index,string,True,True,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000022,22,covalent_residue_atom_name,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000023,23,ligand_comp_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000024,24,ligand_covalent_atom_name,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000025,25,covalent_bond_atom_pair,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000026,26,conn_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000027,27,conn_type_id,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000028,28,bond_distance_angstrom,number,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000029,29,sample_index_status,string,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000030,30,eligible_for_final_dataset_design,boolean,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000031,31,ready_for_training_current_step,boolean,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000032,32,feature_semantics_audit_required_before_training,boolean,True,False,True,True,True,True,True,True,passed,
CYS_SG_SAMPLE_INDEX_SCHEMA_QA_000033,33,leakage_split_design_required_before_training,boolean,True,False,True,True,True,True,True,True,passed,
