case_order,case_id,case_group,download_result_status,observed_http_status,observed_content_length_bytes,observed_sha256,expected_content_length_bytes,expected_sha256,explicit_integrity_verdict,active_failure_reasons,expected_outcome,expected_reason,expected_precedence_rank,strong_authority_present,case_passed
1,PASS_SHA_MATCH,pass,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,,passed,,8,true,true
2,PASS_EXPLICIT_VERIFIED,pass,success,299,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,<MISSING>,verified,,passed,,8,true,true
3,PASS_ALL_AUTHORITIES,pass,success,204,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,verified,,passed,,8,true,true
4,FAILURE_WITH_2XX,status,failure,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,verified,DOWNLOAD_RESULT_STATUS_FAILURE,blocked,DOWNLOAD_RESULT_STATUS_FAILURE,1,true,true
5,FAILURE_WITH_404,status,failure,404,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,10,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,failed,DOWNLOAD_RESULT_STATUS_FAILURE|OBSERVED_HTTP_STATUS_NOT_SUCCESS|OBSERVED_SHA256_MISMATCH|EXPLICIT_INTEGRITY_VERDICT_FAILED|INTEGRITY_AUTHORITY_MISSING,blocked,DOWNLOAD_RESULT_STATUS_FAILURE,1,false,true
6,SUCCESS_WITH_404,http,success,404,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,verified,OBSERVED_HTTP_STATUS_NOT_SUCCESS,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,2,true,true
7,ZERO_CONTENT,content,success,200,0,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,OBSERVED_CONTENT_EMPTY,blocked,OBSERVED_CONTENT_EMPTY,3,true,true
8,SHA_MISMATCH,integrity,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,<MISSING>,OBSERVED_SHA256_MISMATCH|INTEGRITY_AUTHORITY_MISSING,blocked,OBSERVED_SHA256_MISMATCH,4,false,true
9,EXPLICIT_FAILED,integrity,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,<MISSING>,failed,EXPLICIT_INTEGRITY_VERDICT_FAILED|INTEGRITY_AUTHORITY_MISSING,blocked,EXPLICIT_INTEGRITY_VERDICT_FAILED,5,false,true
10,LENGTH_MISMATCH_WITH_SHA_MATCH,integrity,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,11,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,OBSERVED_CONTENT_LENGTH_MISMATCH,blocked,OBSERVED_CONTENT_LENGTH_MISMATCH,6,true,true
11,ONLY_LENGTH_MATCH,authority,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,10,<MISSING>,<MISSING>,INTEGRITY_AUTHORITY_MISSING,blocked,INTEGRITY_AUTHORITY_MISSING,7,false,true
12,NO_STRONG_AUTHORITY,authority,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,<MISSING>,<MISSING>,INTEGRITY_AUTHORITY_MISSING,blocked,INTEGRITY_AUTHORITY_MISSING,7,false,true
13,SHA_MATCH_AND_EXPLICIT_FAILED,precedence,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,failed,EXPLICIT_INTEGRITY_VERDICT_FAILED,blocked,EXPLICIT_INTEGRITY_VERDICT_FAILED,5,true,true
14,SHA_MISMATCH_AND_EXPLICIT_VERIFIED,precedence,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,verified,OBSERVED_SHA256_MISMATCH,blocked,OBSERVED_SHA256_MISMATCH,4,true,true
15,ZERO_ALL_AUTHORITIES_APPEAR_PASS,precedence,success,200,0,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,0,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,verified,OBSERVED_CONTENT_EMPTY,blocked,OBSERVED_CONTENT_EMPTY,3,true,true
16,STATUS_FAILURE_AND_SHA_MISMATCH,precedence,failure,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,<MISSING>,DOWNLOAD_RESULT_STATUS_FAILURE|OBSERVED_SHA256_MISMATCH|INTEGRITY_AUTHORITY_MISSING,blocked,DOWNLOAD_RESULT_STATUS_FAILURE,1,false,true
17,NON2XX_ZERO_INTEGRITY_FAILURE,triple_failure,success,500,0,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,1,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,failed,OBSERVED_HTTP_STATUS_NOT_SUCCESS|OBSERVED_CONTENT_EMPTY|OBSERVED_SHA256_MISMATCH|EXPLICIT_INTEGRITY_VERDICT_FAILED|OBSERVED_CONTENT_LENGTH_MISMATCH|INTEGRITY_AUTHORITY_MISSING,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,2,false,true
18,ADJACENT_STATUS_HTTP,adjacent_precedence,failure,404,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,DOWNLOAD_RESULT_STATUS_FAILURE|OBSERVED_HTTP_STATUS_NOT_SUCCESS,blocked,DOWNLOAD_RESULT_STATUS_FAILURE,1,true,true
19,ADJACENT_HTTP_EMPTY,adjacent_precedence,success,404,0,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,OBSERVED_HTTP_STATUS_NOT_SUCCESS|OBSERVED_CONTENT_EMPTY,blocked,OBSERVED_HTTP_STATUS_NOT_SUCCESS,2,true,true
20,ADJACENT_EMPTY_SHA,adjacent_precedence,success,200,0,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,<MISSING>,OBSERVED_CONTENT_EMPTY|OBSERVED_SHA256_MISMATCH|INTEGRITY_AUTHORITY_MISSING,blocked,OBSERVED_CONTENT_EMPTY,3,false,true
21,ADJACENT_SHA_VERDICT,adjacent_precedence,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,<MISSING>,abcdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789,failed,OBSERVED_SHA256_MISMATCH|EXPLICIT_INTEGRITY_VERDICT_FAILED|INTEGRITY_AUTHORITY_MISSING,blocked,OBSERVED_SHA256_MISMATCH,4,false,true
22,ADJACENT_VERDICT_LENGTH,adjacent_precedence,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,11,<MISSING>,failed,EXPLICIT_INTEGRITY_VERDICT_FAILED|OBSERVED_CONTENT_LENGTH_MISMATCH|INTEGRITY_AUTHORITY_MISSING,blocked,EXPLICIT_INTEGRITY_VERDICT_FAILED,5,false,true
23,ADJACENT_LENGTH_AUTHORITY,adjacent_precedence,success,200,10,0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,11,<MISSING>,<MISSING>,OBSERVED_CONTENT_LENGTH_MISMATCH|INTEGRITY_AUTHORITY_MISSING,blocked,OBSERVED_CONTENT_LENGTH_MISMATCH,6,false,true
