safety_item,expected_executed,observed_executed,safety_passed
fixed_source_reads,true,true,true
admit_006_result_contract_implementation,true,true,true
admit_006_scalar_validation_implementation,true,true,true
admit_006_context_validation_implementation,true,true,true
admit_006_rule_classification_implementation,true,true,true
independent_semantic_oracle_attestation,true,true,true
exact37_synthetic_truth_evaluation,true,true,true
issue_inventory_preservation,true,true,true
evaluator_call_graph_ast_audit,true,true,true
raw_read,false,false,true
artifact_reference_dereference,false,false,true
candidate_mapping,false,false,true
context_routing,false,false,true
unified_adapter_design,false,false,true
unified_adapter_implementation,false,false,true
runtime_modification,false,false,true
registry_modification,false,false,true
admit_006_engine_registration,false,false,true
admit_007_implementation,false,false,true
provider_mapping,false,false,true
real_candidate_evaluation,false,false,true
bulk_download,false,false,true
network,false,false,true
checkpoint,false,false,true
numpy,false,false,true
torch,false,false,true
rdkit,false,false,true
model_forward_loss_training,false,false,true
