contract_id,contract_kind,contract_subject,contract_value,contract_status
API_001,public_api,signature,"evaluate_admit_006(covalent_event_evidence_source, allowed_covalent_evidence_classes)",frozen
API_002,public_api,inputs,direct_scalar_and_context_only_no_defaults,frozen
API_003,public_api,execution,pure_in_memory_deterministic_no_input_mutation,frozen
RESULT_001,result_contract,type,frozen_dataclass,frozen
RESULT_002,result_contract,field_count,10,frozen
RESULT_003,result_contract,field_order,admission_rule_id|outcome|passed|blocks_candidate|reason|canonical_covalent_event_evidence_source|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used,frozen
RESULT_004,result_contract,outcomes,passed|blocked|invalid,frozen
RESULT_005,result_contract,passed,true_iff_outcome_passed,frozen
RESULT_006,result_contract,blocks_candidate,true_iff_outcome_not_passed,frozen
RESULT_007,result_contract,reason,passed_empty_nonpassed_nonempty_exact_str,frozen
RESULT_008,result_contract,canonical_state,scalar_invalid_empty|exact3_preserved_even_context_invalid,frozen
RESULT_009,result_contract,validated_state,scalar_invalid_empty|canonical_exact_single_pair,frozen
RESULT_010,result_contract,evaluator_io_used,exact_false,frozen
SCALAR_001,scalar_semantics,type,exact_builtin_str,frozen
SCALAR_002,scalar_semantics,precedence,type|nonempty|ascii|syntax|exact3_membership,frozen
SCALAR_003,scalar_semantics,syntax,"[a-z][a-z0-9_]{0,63}",frozen
SCALAR_004,scalar_semantics,enum,explicit_structure_bond_record|explicit_curated_covalent_annotation|distance_only_inference,frozen
SCALAR_005,scalar_semantics,repair,none,frozen
CONTEXT_001,context_semantics,type,exact_tuple,frozen
CONTEXT_002,context_semantics,content,explicit_structure_bond_record|explicit_curated_covalent_annotation,frozen
CONTEXT_003,context_semantics,members,exact_builtin_str_exact_order_no_extra,frozen
OUTCOME_001,rule_semantics,explicit_members,passed_empty_reason,frozen
OUTCOME_002,rule_semantics,distance_only,blocked_COVALENT_EVENT_EVIDENCE_NOT_EXPLICIT,frozen
OUTCOME_003,rule_semantics,precedence,scalar_failure|context_failure|classification,frozen
REASON_001,rule_semantics,reserved_adapter_reason,covalent_event_evidence_missing_not_used,frozen
ORACLE_001,oracle_contract,independent,materialization_oracle_separate_from_evaluator_and_predecessor,frozen
BOUNDARY_001,authorization_boundary,excluded,adapter|registry|runtime|provider|real_candidate|filesystem_in_evaluator,frozen
BOUNDARY_002,authorization_boundary,runtime,exact5_unchanged_admit006_unregistered,frozen
