source_order,source_relative_path,source_kind,boundary_necessity,tracked,base_tree_blob,filesystem_regular,non_symlink,expected_sha256,base_tree_sha256,filesystem_sha256,source_boundary_passed
1,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_formal_evaluator_preconditions_manifest.json,json,ADMIT_006 implementation precondition and readiness baseline,true,true,true,true,16b787061739dd0d68cfd3f66829a7690e802d1c0fa700d53155384b29c6dac5,16b787061739dd0d68cfd3f66829a7690e802d1c0fa700d53155384b29c6dac5,16b787061739dd0d68cfd3f66829a7690e802d1c0fa700d53155384b29c6dac5,true
2,src/covalent_ext/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate.py,py,normative Exact3/Exact2 design definitions and predecessor-oracle identity,true,true,true,true,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,92267891cb8a51d2a919d6a6eaca6e6320de288f41ac75692a1c1e6fde2ceb76,true
3,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_contract_manifest.json,json,"committed enum-contract counts, precedence, readiness, and output hashes",true,true,true,true,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,91b98e2a10a20a8f8b07708ec77af947c29e94c33ce73bcf7528f1d8a8abbf20,true
4,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_validation_truth_matrix.csv,csv,complete committed Exact37 semantic expectation corpus,true,true,true,true,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,d332ca526fd0ec05be5ab2edee87daa6d93adcd51515bacec1f1caee814f7507,true
5,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_covalent_event_evidence_source_enum_issue_readiness_inventory.csv,csv,ordered Exact11 issue inventory preservation baseline,true,true,true,true,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,d3333fd74af79b065eb136d830e730c3a636e0d632bcb735b3e841a29d548c79,true
6,data/derived/covalent_small/covapie_bulk_download_admission_covalent_event_evidence_source_enum_contract_design_gate_v1/covapie_admit_006_admit_007_evidence_responsibility_matrix.csv,csv,"ADMIT_006 passed/blocked members, reason, and adapter-missing boundary",true,true,true,true,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,41f7b53ccee575d098379ff6722639a53583c6b4097be7708483ed9f651ae284,true
7,data/derived/covalent_small/covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1/covapie_unified_admission_result_schema_and_outcome_contract.csv,csv,unified result invariants and outcome/result-routing vocabulary,true,true,true,true,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,b09d1bc265cae80296450390c3486a942a9ac16fbd689331770e74024f33bbfa,true
8,data/derived/covalent_small/covapie_bulk_download_admission_unified_rule_engine_contract_design_gate_v1/covapie_unified_admission_evaluator_and_context_routing_matrix.csv,csv,ADMIT_006 field/context dependencies and current unsupported routing boundary,true,true,true,true,2d09f6ab5aa9c64419e7e7c4a90f6562a2883007f9b3ef82258a69b9df181b05,2d09f6ab5aa9c64419e7e7c4a90f6562a2883007f9b3ef82258a69b9df181b05,2d09f6ab5aa9c64419e7e7c4a90f6562a2883007f9b3ef82258a69b9df181b05,true
9,src/covalent_ext/covapie_bulk_download_admission_unified_dispatch_runtime_with_admit_001_to_005.py,py,current literal Exact5 registry and absence of ADMIT_006 registration,true,true,true,true,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,c923d0dfe2edad534a2f530dbbac53870823ff2aa231730acbcd63577edfdb23,true
10,src/covalent_ext/covapie_bulk_download_admission_admit_005_rule_logic_interface.py,py,established frozen standalone-result and materialization structural precedent,true,true,true,true,1b350d5e1a5b7117ee951450a05f32943ba1cef3854e56377aeff0286aec6b5f,1b350d5e1a5b7117ee951450a05f32943ba1cef3854e56377aeff0286aec6b5f,1b350d5e1a5b7117ee951450a05f32943ba1cef3854e56377aeff0286aec6b5f,true
