field_name,field_group,output_table,data_type,required_for_full_atom_extraction_smoke,source_stage,source_column,design_rule,validation_rule,training_use_status
full_atom_extraction_contract_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,derived,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
minimal_sample_record_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,minimal_sample_record_id,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
confirmed_candidate_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,confirmed_candidate_id,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
review_row_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,review_row_id,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
sample_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,sample_id,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
pdb_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,pdb_id,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
entry_id,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,entry_id,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
raw_path,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_minimal_sample_record_write_smoke_v0,raw_path,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
pair_sanity_stage,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,pair_sanity_stage,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
coordinate_source_stage,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,coordinate_source_stage,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
minimal_sample_record_writer_stage,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,minimal_sample_record_writer_stage,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
full_atom_extraction_design_stage,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,derived,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
schema_contract_version,sample_provenance,sample_extraction_contract,string,True,real_covalent_confirmed_candidate_full_atom_extraction_design_gate_v0,schema_contract_version,copy_or_derive_contract_value_without_raw_read,present_in_candidate_contract,not_training_input_yet
minimal_sample_record_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,minimal_sample_record_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
pdb_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,pdb_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
raw_path,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,raw_path,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
atom_site_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,atom_site_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
group_PDB,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,group_PDB,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
type_symbol,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,type_symbol,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_atom_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_atom_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_comp_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_comp_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_asym_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_asym_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_seq_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_seq_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
label_alt_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,label_alt_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_atom_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_atom_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_comp_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_comp_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_asym_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_asym_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
auth_seq_id,protein_full_atom_table,protein_full_atom_table,string,True,real_covalent_confirmed_candidate_full_atom_extraction_smoke,auth_seq_id,extract_in_next_smoke_from_raw_text_stream,not_written_in_design_gate,not_training_input_yet
