field_order_0based,field_name,field_scope,frozen,human_fillable,initial_value,allowed_values,future_approval_requirement,semantic_note,verified
0,review_unit_id,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
1,reaction_family_id,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
2,warhead_rule_id,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
3,sample_count,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
4,sample_index_row_ids,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
5,pdb_ligand_pairs,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
6,candidate_reaction_family_semantic_name,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
7,candidate_warhead_rule_semantic_name,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
8,target_residue_types,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
9,target_residue_reactive_atom,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
10,formed_bond_order,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
11,candidate_local_graph_rule_sha256,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
12,candidate_reaction_delta_class,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
13,candidate_leaving_group_summary,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
14,boundary_review_completed_count,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
15,selected_candidate_identity_attested_count,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
16,effective_boundary_cardinalities,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
17,approved_warhead_smarts_currently_available,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
18,formal_equivalent_structural_contract_currently_available,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
19,current_binding_conclusion,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
20,current_blocking_fields,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
21,frozen_evidence_sha256,frozen_identity_or_evidence,true,false,derived_from_sha_bound_evidence,,,candidate_evidence_not_human_approval,true
22,reviewed_reaction_family_version,human_family,false,true,,,family_approve,must_remain_blank_at_materialization,true
23,reviewed_reaction_family_semantic_name,human_family,false,true,,,family_approve,must_remain_blank_at_materialization,true
24,reviewed_reaction_family_structural_basis,human_family,false,true,,,family_approve,must_remain_blank_at_materialization,true
25,reaction_family_identity_explicitly_attested,human_family,false,true,,true|false,family_approve,must_remain_blank_at_materialization,true
