planned_step,planned_action,allowed_inputs,allowed_outputs,blocked_outputs,required_preconditions,plan_passed
read_final_dataset_design_gate,read final dataset design gate,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
read_sample_index_smoke,read sample index smoke,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
read_split_unit_preview,read split unit preview,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
materialize_final_dataset_smoke_preview,materialize final dataset smoke preview,final_dataset_design_gate;sample_index_smoke;split_unit_preview,final_dataset_smoke_preview_future_step_only,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
validate_schema_order,validate schema order,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
validate_row_lineage,validate row lineage,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
validate_mask_distribution,validate mask distribution,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
validate_feature_blockers,validate feature blockers,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
final_dataset_smoke_qa_gate,final dataset smoke qa gate,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
dataloader_smoke_blocked,dataloader smoke blocked,final_dataset_design_gate;sample_index_smoke;split_unit_preview,csv_json_audit_future_step,real_final_dataset;train_val_test_split;leakage_matrix;dataloader_smoke;training,step13bn_design_gate_passed,True
