boundary_item,current_step_status,boundary_safety_passed,qa_comment
final_dataset_design_gate,executed_design_gate_only,True,final dataset design gate boundary respected
read_step13bm_feature_semantics_artifacts,executed_derived_csv_json_read_only,True,final dataset design gate boundary respected
read_step13bl_split_leakage_qa_artifacts,executed_derived_csv_json_read_only,True,final dataset design gate boundary respected
read_step13bk_split_unit_preview,executed_derived_csv_json_read_only,True,final dataset design gate boundary respected
read_step13bh_sample_index,executed_derived_csv_json_read_only,True,final dataset design gate boundary respected
read_step13be_extracted_tables,executed_derived_csv_json_read_only,True,final dataset design gate boundary respected
final_dataset_write,blocked_current_step,True,final dataset design gate boundary respected
final_dataset_smoke_write,blocked_current_step,True,final dataset design gate boundary respected
new_sample_index_write,blocked_current_step,True,final dataset design gate boundary respected
split_assignment_write,blocked_current_step,True,final dataset design gate boundary respected
leakage_matrix_write,blocked_current_step,True,final dataset design gate boundary respected
dataloader_smoke,blocked_current_step,True,final dataset design gate boundary respected
training,blocked_current_step,True,final dataset design gate boundary respected
raw_file_content_read,not_executed_or_not_allowed,True,final dataset design gate boundary respected
raw_cif_mmcif_sdf_pdb_gzip_read,not_executed_or_not_allowed,True,final dataset design gate boundary respected
mmcif_parse,not_executed_or_not_allowed,True,final dataset design gate boundary respected
atom_site_scan,not_executed_or_not_allowed,True,final dataset design gate boundary respected
struct_conn_scan,not_executed_or_not_allowed,True,final dataset design gate boundary respected
coordinate_extraction,not_executed_or_not_allowed,True,final dataset design gate boundary respected
network_access,not_executed_or_not_allowed,True,final dataset design gate boundary respected
raw_download,not_executed_or_not_allowed,True,final dataset design gate boundary respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,final dataset design gate boundary respected
torch_model_training,not_executed_or_not_allowed,True,final dataset design gate boundary respected
