final_dataset_field,planned_data_type,required,nullable,semantic_role,primary_source_artifact,primary_source_field,planned_default_or_status,validation_rule,current_step_materializes_field,schema_contract_passed
final_dataset_row_id,string,True,False,future_final_dataset_field,design_policy,final_dataset_row_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
sample_index_row_id,string,True,False,future_final_dataset_field,sample_index,sample_index_row_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
sample_preparation_input_id,string,True,False,future_final_dataset_field,sample_index,sample_preparation_input_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
sample_execution_id,string,True,False,future_final_dataset_field,sample_index,sample_execution_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
sample_qa_id,string,True,False,future_final_dataset_field,sample_index,sample_qa_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
pdb_id,string,True,False,future_final_dataset_field,sample_index,pdb_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
expected_het_id,string,True,False,future_final_dataset_field,sample_index,expected_het_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
sample_artifact_root,string,True,False,future_final_dataset_field,sample_index,sample_artifact_root,copied_or_generated_in_future_materialization,future final dataset field,False,True
protein_atom_table_path,string,True,False,future_final_dataset_field,sample_index,protein_atom_table_path,copied_or_generated_in_future_materialization,future final dataset field,False,True
ligand_atom_table_path,string,True,False,future_final_dataset_field,sample_index,ligand_atom_table_path,copied_or_generated_in_future_materialization,future final dataset field,False,True
pocket_atom_table_path,string,True,False,future_final_dataset_field,sample_index,pocket_atom_table_path,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_event_table_path,string,True,False,future_final_dataset_field,sample_index,covalent_event_table_path,copied_or_generated_in_future_materialization,future final dataset field,False,True
ligand_residue_atom_pair_table_path,string,True,False,future_final_dataset_field,sample_index,ligand_residue_atom_pair_table_path,copied_or_generated_in_future_materialization,future final dataset field,False,True
sample_preparation_audit_path,string,True,False,future_final_dataset_field,sample_index,sample_preparation_audit_path,copied_or_generated_in_future_materialization,future final dataset field,False,True
protein_atom_count,number,True,False,future_final_dataset_field,sample_index,protein_atom_count,copied_or_generated_in_future_materialization,future final dataset field,False,True
ligand_atom_count,number,True,False,future_final_dataset_field,sample_index,ligand_atom_count,copied_or_generated_in_future_materialization,future final dataset field,False,True
pocket_atom_count,number,True,False,future_final_dataset_field,sample_index,pocket_atom_count,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_event_count,number,True,False,future_final_dataset_field,sample_index,covalent_event_count,copied_or_generated_in_future_materialization,future final dataset field,False,True
ligand_residue_atom_pair_count,number,True,False,future_final_dataset_field,sample_index,ligand_residue_atom_pair_count,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_residue_name,string,True,False,future_final_dataset_field,sample_index,covalent_residue_name,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_residue_chain_id,string,True,False,future_final_dataset_field,sample_index,covalent_residue_chain_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_residue_index,string,True,False,future_final_dataset_field,sample_index,covalent_residue_index,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_residue_atom_name,string,True,False,future_final_dataset_field,sample_index,covalent_residue_atom_name,copied_or_generated_in_future_materialization,future final dataset field,False,True
ligand_comp_id,string,True,False,future_final_dataset_field,sample_index,ligand_comp_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
ligand_covalent_atom_name,string,True,False,future_final_dataset_field,sample_index,ligand_covalent_atom_name,copied_or_generated_in_future_materialization,future final dataset field,False,True
covalent_bond_atom_pair,string,True,False,future_final_dataset_field,sample_index,covalent_bond_atom_pair,copied_or_generated_in_future_materialization,future final dataset field,False,True
conn_id,string,True,False,future_final_dataset_field,sample_index,conn_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
conn_type_id,string,True,False,future_final_dataset_field,sample_index,conn_type_id,copied_or_generated_in_future_materialization,future final dataset field,False,True
post_covalent_bond_distance_angstrom,number,True,False,future_final_dataset_field,design_policy,bond_distance_angstrom,copied_or_generated_in_future_materialization,future final dataset field,False,True
supported_mask_task_names,string,True,False,future_final_dataset_field,design_policy,supported_mask_task_names,warhead_only;linker_plus_warhead;scaffold_plus_warhead;scaffold_only;scaffold_plus_linker_plus_warhead,future final dataset field,False,True
warhead_type_label_status,string,True,False,future_final_dataset_field,design_policy,warhead_type_label_status,pending_warhead_type_annotation_and_semantics_gate,future final dataset field,False,True
ligand_residue_atom_pair_label_status,string,True,False,future_final_dataset_field,design_policy,ligand_residue_atom_pair_label_status,available_from_validated_struct_conn_atom_pair,future final dataset field,False,True
pre_covalent_geometry_label_status,string,True,False,future_final_dataset_field,design_policy,pre_covalent_geometry_label_status,unavailable_in_current_source,future final dataset field,False,True
post_covalent_geometry_label_status,string,True,False,future_final_dataset_field,design_policy,post_covalent_geometry_label_status,available_as_post_covalent_bond_distance_only,future final dataset field,False,True
feature_semantics_status,string,True,False,future_final_dataset_field,design_policy,feature_semantics_status,unresolved_requires_feature_semantics_audit,future final dataset field,False,True
leakage_group_id,string,True,True,future_final_dataset_field,design_policy,leakage_group_id,null_pending_leakage_split_design,future final dataset field,False,True
split_assignment,string,True,True,future_final_dataset_field,design_policy,split_assignment,null_pending_leakage_split_design,future final dataset field,False,True
final_dataset_row_status,string,True,False,future_final_dataset_field,design_policy,final_dataset_row_status,design_only_pending_leakage_and_feature_semantics,future final dataset field,False,True
qa_approved_for_final_dataset_design,boolean,True,False,future_final_dataset_field,design_policy,qa_approved_for_final_dataset_design,true,future final dataset field,False,True
eligible_for_leakage_split_design,boolean,True,False,future_final_dataset_field,design_policy,eligible_for_leakage_split_design,true,future final dataset field,False,True
eligible_for_final_dataset_materialization,boolean,True,False,future_final_dataset_field,design_policy,eligible_for_final_dataset_materialization,false,future final dataset field,False,True
ready_for_training_current_step,boolean,True,False,future_final_dataset_field,sample_index,ready_for_training_current_step,false,future final dataset field,False,True
feature_semantics_audit_required_before_training,boolean,True,False,future_final_dataset_field,sample_index,feature_semantics_audit_required_before_training,true,future final dataset field,False,True
leakage_split_design_required_before_training,boolean,True,False,future_final_dataset_field,sample_index,leakage_split_design_required_before_training,true,future final dataset field,False,True
source_sample_index_csv_sha256,string,True,False,future_final_dataset_field,design_policy,source_sample_index_csv_sha256,copied_or_generated_in_future_materialization,future final dataset field,False,True
source_sample_index_json_sha256,string,True,False,future_final_dataset_field,design_policy,source_sample_index_json_sha256,copied_or_generated_in_future_materialization,future final dataset field,False,True
