contract_type,contract_item,expected_status,observed_status,contract_passed,comment
policy,final_dataset_design_gate_only,True,True,True,final dataset design gate only
policy,design_gate_does_not_write_final_dataset,True,True,True,design gate does not write final dataset
policy,source_inventory_is_not_final_dataset,True,True,True,source inventory is not final dataset
policy,row_projection_plan_is_not_final_dataset,True,True,True,row projection plan is not final dataset
policy,design_gate_reads_committed_sample_index_only,True,True,True,design gate reads committed sample index only
policy,design_gate_does_not_modify_sample_index,True,True,True,design gate does not modify sample index
policy,design_gate_does_not_read_raw_mmcif,True,True,True,design gate does not read raw mmcif
policy,design_gate_does_not_modify_atom_event_tables,True,True,True,design gate does not modify atom event tables
policy,do_not_infer_warhead_type_from_ligand_identity,True,True,True,do not infer warhead type from ligand identity
policy,do_not_infer_pre_geometry_from_post_geometry,True,True,True,do not infer pre geometry from post geometry
policy,leakage_group_required_before_materialization,True,True,True,leakage group required before materialization
policy,split_assignment_required_before_materialization,True,True,True,split assignment required before materialization
policy,feature_semantics_audit_required_before_training,True,True,True,feature semantics audit required before training
policy,canonical_five_masks_preserved,True,True,True,canonical five masks preserved
policy,no_training_current_step,True,True,True,no training current step
readiness,ready_for_covapie_leakage_split_design_gate,True,True,True,leakage/split design is next
readiness,ready_for_covapie_final_dataset_materialization_smoke,False,False,True,leakage/split design is next
readiness,ready_for_covapie_actual_dataloader_adapter_smoke,False,False,True,leakage/split design is next
readiness,ready_for_training,False,False,True,leakage/split design is next
readiness,ready_to_train_now,False,False,True,leakage/split design is next
