risk_group,observed_group_count,observed_max_rows_per_group,current_smoke_status,leakage_risk_level,required_action_before_real_split,risk_design_audit_passed
parent_event_grouping,4,5,observed_current_sample_index_design_only,hard_grouping_required,enforce_or_review_grouping_before_real_split,True
candidate_metadata_grouping,4,5,observed_current_sample_index_design_only,hard_grouping_required,enforce_or_review_grouping_before_real_split,True
pdb_grouping,4,5,observed_current_sample_index_design_only,hard_grouping_required,enforce_or_review_grouping_before_real_split,True
mask_task_grouping,5,4,observed_current_sample_index_design_only,review_required,enforce_or_review_grouping_before_real_split,True
ligand_het_code_grouping,4,5,observed_current_sample_index_design_only,review_required,enforce_or_review_grouping_before_real_split,True
covalent_residue_site_grouping,1,20,observed_current_sample_index_design_only,review_required,enforce_or_review_grouping_before_real_split,True
covalent_bond_atom_pair_grouping,2,10,observed_current_sample_index_design_only,review_required,enforce_or_review_grouping_before_real_split,True
scaffold_future_missing,0,0,required_before_real_split,future_required,materialize_future_grouping_annotation_before_scalable_training_split,True
warhead_type_future_missing,0,0,required_before_real_split,future_required,materialize_future_grouping_annotation_before_scalable_training_split,True
sequence_cluster_future_missing,0,0,required_before_real_split,future_required,materialize_future_grouping_annotation_before_scalable_training_split,True
pocket_cluster_future_missing,0,0,required_before_real_split,future_required,materialize_future_grouping_annotation_before_scalable_training_split,True
row_level_random_split_forbidden,20,1,forbidden_by_design,hard_forbidden,split_by_parent_units_not_rows,True
