grouping_key_name,grouping_key_status,available_in_current_sample_index,required_before_real_split,leakage_risk_controlled,grouping_policy,design_contract_passed
extracted_event_id,available_or_derivable_current_sample_index,True,True,True,hard_same_split_for_all_mask_rows,True
candidate_metadata_id,available_or_derivable_current_sample_index,True,True,True,hard_same_split_for_all_candidate_rows,True
pdb_id,available_or_derivable_current_sample_index,True,True,True,hard_same_split_by_default,True
allowlist_entry_id,available_or_derivable_current_sample_index,True,True,True,hard_same_split_for_allowlist_entry,True
ligand_het_code,available_or_derivable_current_sample_index,True,True,True,review_group_or_balance_before_real_split,True
covalent_residue_site,available_or_derivable_current_sample_index,True,True,True,review_mechanism_site_leakage_before_real_split,True
covalent_bond_atom_pair,available_or_derivable_current_sample_index,True,True,True,review_covalent_atom_pair_leakage_before_real_split,True
source_dataset_name,available_or_derivable_current_sample_index,True,True,True,track_source_dataset_for_future_stratification,True
scaffold_identity_future,future_required_not_materialized_current_step,False,True,True,future_required_grouping_key_not_materialized_current_step,True
linker_identity_future,future_required_not_materialized_current_step,False,True,True,future_required_grouping_key_not_materialized_current_step,True
warhead_type_future,future_required_not_materialized_current_step,False,True,True,future_required_grouping_key_not_materialized_current_step,True
protein_sequence_cluster_future,future_required_not_materialized_current_step,False,True,True,future_required_grouping_key_not_materialized_current_step,True
pocket_similarity_cluster_future,future_required_not_materialized_current_step,False,True,True,future_required_grouping_key_not_materialized_current_step,True
