planned_step,planned_action,allowed_inputs,allowed_outputs,blocked_outputs,required_preconditions,plan_passed
read_sample_index_qa_gate,Read Step 13BI QA outputs.,step13bi_manifest_and_audits,readiness_validation,split_assignments;leakage_matrix,step13bi_passed,True
read_sample_index_smoke,Read Step 13BH sample index CSV/JSON.,step13bh_sample_index,split_unit_inputs,sample_index_rewrite,step13bi_ready,True
materialize_split_units_smoke,Write future split unit preview only.,sample_index_smoke,split_unit_preview,train_val_test_assignments,design_gate_passed,True
validate_no_row_level_random_split,Assert row-level random split remains forbidden.,split_unit_preview,validation_audit,row_level_assignments,split_units_available,True
validate_parent_event_group_integrity,Assert five mask rows stay bound to parent event.,split_unit_preview,group_integrity_audit,broken_parent_groups,split_units_available,True
write_split_leakage_smoke_preview,Write smoke preview without real train/val/test split.,split_unit_preview,split_leakage_smoke_preview,leakage_matrix;final_dataset,design_gate_passed,True
split_leakage_qa_gate,QA future split/leakage smoke.,split_leakage_smoke_preview,qa_audits,training_inputs,split_leakage_smoke_passed,True
feature_semantics_audit_gate,Audit feature semantics before training.,feature_contracts,feature_semantics_audits,training,split_leakage_qa_passed,True
final_dataset_design_gate,Design final dataset after split QA and feature audit.,split_qa;feature_audit,final_dataset_contract,final_dataset_materialization,split_qa_and_feature_audit_required,True
dataloader_smoke,Run dataloader smoke only after final dataset gates.,final_dataset_smoke,loader_smoke_audit,training,final_dataset_gate_required,True
training,Training remains blocked.,none,none,forward;loss;backward;optimizer;trainer.fit,feature_semantics_and_split_gates_required,True
