exclusion_audit_id,expansion_source_record_id,pdb_id,expected_het_id,exclusion_reason_code,exclusion_reason_description,exclusion_category,exclusion_status
CYS_SG_EXPANSION_EXCLUSION_000001,CYS_SG_EXPANSION_SOURCE_000003,1ATK,E64,lower_priority_duplicate_het_representative,A deterministic earlier representative for this HET ID is already shortlisted.,diversity,excluded
CYS_SG_EXPANSION_EXCLUSION_000002,CYS_SG_EXPANSION_SOURCE_000010,1A54,MDC,known_struct_conn_blocked,Historical result is no_struct_conn_loop_found.,historical_block,excluded
CYS_SG_EXPANSION_EXCLUSION_000003,CYS_SG_EXPANSION_SOURCE_000011,2DJF,1ZB,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000004,CYS_SG_EXPANSION_SOURCE_000012,6BV6,JUG,already_in_current_sample_index,Pair is already materialized in the current JUG pilot sample index.,current_pilot_exclusion,excluded
CYS_SG_EXPANSION_EXCLUSION_000005,CYS_SG_EXPANSION_SOURCE_000013,6BV9,JUG,known_ligand_comp_mismatch,Historical result is ligand_comp_id_mismatch.,historical_block,excluded
CYS_SG_EXPANSION_EXCLUSION_000006,CYS_SG_EXPANSION_SOURCE_000014,6BV8,JUG,already_in_current_sample_index,Pair is already materialized in the current JUG pilot sample index.,current_pilot_exclusion,excluded
CYS_SG_EXPANSION_EXCLUSION_000007,CYS_SG_EXPANSION_SOURCE_000015,6BV5,JUG,already_in_current_sample_index,Pair is already materialized in the current JUG pilot sample index.,current_pilot_exclusion,excluded
CYS_SG_EXPANSION_EXCLUSION_000008,CYS_SG_EXPANSION_SOURCE_000016,6VWE,JY1,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000009,CYS_SG_EXPANSION_SOURCE_000017,2R9F,K2Z,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000010,CYS_SG_EXPANSION_SOURCE_000018,4DCD,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000011,CYS_SG_EXPANSION_SOURCE_000019,6WTT,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000012,CYS_SG_EXPANSION_SOURCE_000020,4F49,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000013,CYS_SG_EXPANSION_SOURCE_000021,6L70,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000014,CYS_SG_EXPANSION_SOURCE_000022,6WTJ,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000015,CYS_SG_EXPANSION_SOURCE_000023,7C8U,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000016,CYS_SG_EXPANSION_SOURCE_000024,5WKJ,K36,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
CYS_SG_EXPANSION_EXCLUSION_000017,CYS_SG_EXPANSION_SOURCE_000025,6WTK,UED,outside_cys_sg_v1_scope,CYS is present but SG evidence is not yet available; raw mmCIF struct_conn crosscheck is required before V1 consideration.,scope,excluded
