proposal_or_summary_id,curation_candidate_id,pdb_id,ligand_identifier,suggested_chain_id,suggested_residue_name,suggested_residue_index,suggested_residue_atom_name,suggested_ligand_comp_id,suggested_ligand_atom_name,suggested_covalent_bond_atom_pair,suggested_covalent_event_id,struct_conn_type,evidence_source_path,evidence_confidence,ambiguity_status,cys_sg_v1_candidate_proposal,proposal_status,proposal_audit_passed,qa_comment
template_candidate_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,25
local_raw_available_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,5
local_raw_read_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,5
struct_conn_rows_detected_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,47
cys_sg_struct_conn_candidate_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,0
ambiguous_struct_conn_candidate_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,0
non_cys_or_non_sg_candidate_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,47
support_proposal_count,,,,,,,,,,,,summary,,summary,summary,,summary,True,0
support_proposals_pending_manual_review,,,,,,,,,,,,summary,,summary,summary,,summary,True,0
no_ready_candidates_created,,,,,,,,,,,,summary,,summary,summary,,summary,True,0
