evidence_source_name,evidence_source_path,evidence_source_exists,evidence_source_type,current_step_read_mode,can_generate_support_proposals,evidence_source_inventory_passed,qa_comment
step14e_manual_curation_template,data/derived/covalent_small/covapie_small_pilot_manual_event_identity_curation_gate_v0/covapie_manual_event_identity_curation_candidate_template.csv,True,derived_csv,read_only,True,True,Pending template is the proposal target.
metadata_csv,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,True,derived_csv,read_only,True,True,Metadata provides het_code for raw struct_conn matching.
local_raw_cif_root,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,True,local_raw_root,read_only_existing_cif_mmcif_only,True,True,Existing local raw may be read but never written or committed.
local_raw_cif_files_for_template_pdb_ids,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,True,local_raw_cif_files,read_only_existing_cif_mmcif_only,True,True,5 template raw files available.
step14d_candidate_expansion_artifacts,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0,True,derived_artifacts,read_only,True,True,Prior expansion gate is context only.
step14c_manifest_artifacts,data/derived/covalent_small/covapie_small_pilot_download_manifest_gate_v0,True,derived_artifacts,read_only,True,True,Prior manifest gate is context only.
candidate_allowlist_qa_if_present,data/derived/covalent_small/covapie_candidate_allowlist_qa_gate_v0,True,derived_optional,read_only_if_present,True,True,Missing optional derived evidence does not fail.
batch_raw_read_extraction_smoke_if_present,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0,True,derived_optional,read_only_if_present,True,True,Missing optional derived evidence does not fail.
batch_raw_read_extraction_qa_if_present,data/derived/covalent_small/covapie_batch_raw_read_extraction_qa_gate_v0,False,derived_optional,read_only_if_present,False,True,Missing optional derived evidence does not fail.
step8_topology_evidence_if_present,data/derived/covalent_small/covapie_step8_topology_evidence_export_smoke_v0,False,derived_optional,read_only_if_present,False,True,Missing optional derived evidence does not fail.
no_network_source_current_step,policy,True,policy,not_executed_or_not_allowed,False,True,Network sources are not allowed.
no_external_download_current_step,policy,True,policy,not_executed_or_not_allowed,False,True,External downloads are not allowed.
