safety_item,required_status,observed_status,safety_passed,blocking_reason
network_access_used_current_step,false,false,true,
raw_directory_traversed_current_step,false,false,true,
artifact_reference_paths_followed_current_step,false,false,true,
candidate_records_materialized_current_step,false,false,true,
download_queue_materialized_current_step,false,false,true,
raw_files_written_current_step,false,false,true,
torch_imported,false,false,true,
numpy_imported,false,false,true,
rdkit_used,false,false,true,
biopython_used,false,false,true,
gemmi_used,false,false,true,
dataloader_instantiated,false,false,true,
checkpoint_loaded,false,false,true,
model_forward_called,false,false,true,
loss_compute_called,false,false,true,
training_allowed,false,false,true,
