issue_id,issue_type,affected_fields,affected_rules,severity,status,blocking_scope,blocking_reason,issue_origin,integration_transition
CANDIDATE_RECORD_ID_SEMANTICS_UNRESOLVED,implementation_semantics_gap,candidate_record_id,ADMIT_001,blocking,open,admission_evaluator_rule_logic,CANDIDATE_RECORD_ID_SEMANTICS_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
COVALENT_ATOM_PAIR_ENCODING_UNRESOLVED,implementation_semantics_gap,covalent_bond_atom_pair,,blocking,open,admission_evaluator_rule_logic,COVALENT_ATOM_PAIR_ENCODING_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
COVALENT_EVIDENCE_ENUM_UNRESOLVED,implementation_semantics_gap,covalent_event_evidence_source,ADMIT_006|ADMIT_007,blocking,open,admission_evaluator_rule_logic,COVALENT_EVIDENCE_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
COVALENT_RESIDUE_ATOM_NAME_NORMALIZATION_UNRESOLVED,implementation_semantics_gap,covalent_residue_atom_name,ADMIT_004|ADMIT_005,blocking,open,admission_evaluator_rule_logic,COVALENT_RESIDUE_ATOM_NAME_NORMALIZATION_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
COVALENT_RESIDUE_IDENTITY_SEMANTICS_UNRESOLVED,implementation_semantics_gap,covalent_residue_chain_id|covalent_residue_index|covalent_residue_name,ADMIT_004|ADMIT_005,blocking,open,admission_evaluator_rule_logic,COVALENT_RESIDUE_IDENTITY_SEMANTICS_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED,implementation_semantics_gap,observed_content_length_bytes|observed_http_status|observed_sha256,ADMIT_012|ADMIT_013,blocking,open,admission_evaluator_rule_logic,DOWNLOAD_INTEGRITY_VALIDATION_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED,implementation_semantics_gap,download_result_status,ADMIT_012|ADMIT_013,blocking,open,admission_evaluator_rule_logic,DOWNLOAD_RESULT_STATUS_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,implementation_semantics_gap,duplicate_identity_key,ADMIT_009,blocking,open,admission_evaluator_rule_logic,DUPLICATE_IDENTITY_KEY_SEMANTICS_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,implementation_semantics_gap,leakage_group_id,ADMIT_010,blocking,open,admission_evaluator_rule_logic,LEAKAGE_GROUP_ASSIGNMENT_PROVENANCE_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
LIGAND_COMP_ID_SEMANTICS_UNRESOLVED,implementation_semantics_gap,ligand_comp_id,ADMIT_003,blocking,open,admission_evaluator_rule_logic,LIGAND_COMP_ID_SEMANTICS_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,implementation_semantics_gap,raw_target_relative_path,ADMIT_011,blocking,open,admission_evaluator_rule_logic,RAW_TARGET_CONTEXT_CONTRACT_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,implementation_semantics_gap,topology_restoration_disposition,ADMIT_008,blocking,open,admission_evaluator_rule_logic,TOPOLOGY_DISPOSITION_ENUM_UNRESOLVED,step14au_a_remaining_semantics_blocker,unchanged
