field_name,field_group,field_description,required_for_future_sample_index,source_stage,source_artifact,training_use_status
sample_index_row_id,identity_provenance,Future sample_index identity/provenance field `sample_index_row_id`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
review_row_id,identity_provenance,Future sample_index identity/provenance field `review_row_id`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
pdb_id,identity_provenance,Future sample_index identity/provenance field `pdb_id`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
expected_step8_sample_name,identity_provenance,Future sample_index identity/provenance field `expected_step8_sample_name`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
source_sample_name,identity_provenance,Future sample_index identity/provenance field `source_sample_name`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
source_stage_lineage,identity_provenance,Future sample_index identity/provenance field `source_stage_lineage`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
v1_train_ready_scope,identity_provenance,Future sample_index identity/provenance field `v1_train_ready_scope`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
residue_scope,identity_provenance,Future sample_index identity/provenance field `residue_scope`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
residue_name,identity_provenance,Future sample_index identity/provenance field `residue_name`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
residue_chain_id,identity_provenance,Future sample_index identity/provenance field `residue_chain_id`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
residue_seq_id,identity_provenance,Future sample_index identity/provenance field `residue_seq_id`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
residue_atom_name,identity_provenance,Future sample_index identity/provenance field `residue_atom_name`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
covalent_ligand_endpoint_atom_id,identity_provenance,Future sample_index identity/provenance field `covalent_ligand_endpoint_atom_id`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
covalent_bond_atom_pair_status,identity_provenance,Future sample_index identity/provenance field `covalent_bond_atom_pair_status`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_candidate_contract.csv,not_training_input_yet
ligand_atom_topology_table_path,ligand_topology,Future sample_index ligand topology field `ligand_atom_topology_table_path`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
ligand_bond_topology_table_path,ligand_topology,Future sample_index ligand topology field `ligand_bond_topology_table_path`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
ligand_atom_count,ligand_topology,Future sample_index ligand topology field `ligand_atom_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
ligand_bond_count,ligand_topology,Future sample_index ligand topology field `ligand_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
endpoint_atom_true_count,ligand_topology,Future sample_index ligand topology field `endpoint_atom_true_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
endpoint_touching_bond_true_count,ligand_topology,Future sample_index ligand topology field `endpoint_touching_bond_true_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
warhead_atom_count,ligand_topology,Future sample_index ligand topology field `warhead_atom_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
linker_atom_count,ligand_topology,Future sample_index ligand topology field `linker_atom_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
scaffold_atom_count,ligand_topology,Future sample_index ligand topology field `scaffold_atom_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
warhead_bond_count,ligand_topology,Future sample_index ligand topology field `warhead_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
linker_bond_count,ligand_topology,Future sample_index ligand topology field `linker_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
scaffold_bond_count,ligand_topology,Future sample_index ligand topology field `scaffold_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
cross_boundary_or_unassigned_bond_count,ligand_topology,Future sample_index ligand topology field `cross_boundary_or_unassigned_bond_count`.,True,real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_smoke_retry_with_exported_step8_topology_v0/ligand_topology_smoke_retry_audit.csv,not_training_input_yet
pocket_atom_table_path,pocket_protein_dependency,Future sample_index pocket/protein dependency field `pocket_atom_table_path`.,True,step13l_or_step13j_dependency,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_dependency_contract.csv,not_training_input_yet
pocket_atom_count,pocket_protein_dependency,Future sample_index pocket/protein dependency field `pocket_atom_count`.,True,step13l_or_step13j_dependency,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_dependency_contract.csv,not_training_input_yet
pocket_extraction_scope,pocket_protein_dependency,Future sample_index pocket/protein dependency field `pocket_extraction_scope`.,True,step13l_or_step13j_dependency,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_dependency_contract.csv,not_training_input_yet
full_atom_extraction_source,pocket_protein_dependency,Future sample_index pocket/protein dependency field `full_atom_extraction_source`.,True,step13l_or_step13j_dependency,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_dependency_contract.csv,not_training_input_yet
canonical_mask_task_names,mask_task_contract,Future sample_index canonical mask field `canonical_mask_task_names`.,True,real_covalent_confirmed_candidate_sample_index_design_gate_v0,data/derived/covalent_small/real_covalent_confirmed_candidate_sample_index_design_gate_v0/sample_index_mask_task_contract.csv,not_training_input_yet
