matrix_order,matrix_group,case_id,condition,expected_behavior,expected_reason,expected_result_json,formal_call_count,oracle_call_count,candidate_access_status,case_passed
1,context,batch_none,batch_context None,dispatch_error,ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
2,context,batch_non_mapping,batch_context list,dispatch_error,ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
3,context,batch_key_missing,batch required key absent,dispatch_error,ADMIT_009_BATCH_DUPLICATE_IDENTITY_KEYS_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_BATCH_DUPLICATE_IDENTITY_KEYS_REQUIRED""}",0,0,not_accessed,true
4,context,evaluation_none,evaluation_context None,dispatch_error,ADMIT_009_EVALUATION_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
5,context,evaluation_non_mapping,evaluation_context list,dispatch_error,ADMIT_009_EVALUATION_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_EVALUATION_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
6,context,evaluation_key_missing,evaluation required key absent,dispatch_error,ADMIT_009_DUPLICATE_IDENTITY_KEY_CONTRACT_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_DUPLICATE_IDENTITY_KEY_CONTRACT_REQUIRED""}",0,0,not_accessed,true
7,context,download_non_none,download_result_context non-None,dispatch_error,ADMIT_009_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_DOWNLOAD_RESULT_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
8,context,stage_non_none,stage_authorization_context non-None,dispatch_error,ADMIT_009_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_STAGE_AUTHORIZATION_CONTEXT_MUST_BE_NONE""}",0,0,not_accessed,true
9,context,multiple_failure_precedence,all contexts invalid,first_dispatch_error_only,ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
10,context,candidate_bomb,context failure with inaccessible candidate,candidate_not_accessed,ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED,"{""code"":""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID"",""admission_rule_id"":""ADMIT_009"",""known_rule"":true,""callable_discovered"":true,""adapter_ready"":true,""reason"":""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED""}",0,0,not_accessed,true
11,context,batch_mapping_subclass,batch Mapping subclass,accepted_without_copy,,,1,1,accessed_after_context,true
12,context,batch_extra_keys,batch unrelated keys,ignored_without_iteration,,,1,1,accessed_after_context,true
13,context,batch_identity_single_lookup,batch identity sentinel,same_object_single_lookup,,,1,1,accessed_after_context,true
14,context,evaluation_mapping_subclass,evaluation Mapping subclass,accepted_without_copy,,,1,1,accessed_after_context,true
15,context,evaluation_extra_keys,evaluation unrelated keys,ignored_without_iteration,,,1,1,accessed_after_context,true
16,context,policy_identity_single_lookup,policy identity sentinel,same_object_single_lookup,,,1,1,accessed_after_context,true
17,context,policy_none_present,policy key present with None,forwarded_not_missing,DUPLICATE_IDENTITY_KEY_CONTRACT_TYPE_INVALID,"{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_009"",""admission_rule_name"":""duplicate_identity_precheck"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""DUPLICATE_IDENTITY_KEY_CONTRACT_TYPE_INVALID"",""normalized_values"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""validated_candidate_fields"":[[""duplicate_identity_key"",""covapie_dup_v1_sha256_1111111111111111111111111111111111111111111111111111111111111111""]],""consumed_candidate_fields"":[""duplicate_identity_key""],""consumed_context_items"":[""duplicate_identity_key_contract""],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_009_unified_adapter_v1""}",1,1,value_read_once,true
