contract_order,contract_id,contract_group,contract_subject,contract_value,contract_status
1,CONTRACT_001,identity,admission_rule_id,ADMIT_009,frozen
2,CONTRACT_002,identity,admission_rule_name,duplicate_identity_precheck,frozen
3,CONTRACT_003,identity,adapter_id,covapie_admit_009_unified_adapter_v1,frozen
4,CONTRACT_004,identity,formal_evaluator,evaluate_admit_009,frozen
5,CONTRACT_005,identity,formal_result_type,Admit009EvaluationResult,frozen
6,CONTRACT_006,identity,independent_oracle,classify_admit_009_duplicate_identity_key_design,frozen
7,CONTRACT_007,runtime_continuity,public_dispatch,new_successor_function_same_exact8_signature_and_dispatch_semantics_uses_exact9_registry_not_exact8_function_identity,frozen
8,CONTRACT_008,runtime_reuse,result_type,UnifiedAdmissionRuleEvaluation_exact8_identity,frozen
9,CONTRACT_009,runtime_reuse,dispatch_error_type,UnifiedAdmissionDispatchError_exact8_identity,frozen
10,CONTRACT_010,runtime_reuse,schema_version,RESULT_SCHEMA_VERSION_exact8_identity,frozen
11,CONTRACT_011,runtime_reuse,result_fields,RESULT_FIELDS_exact8_identity|schema_version|admission_rule_id|admission_rule_name|outcome|passed|blocks_candidate|reason|normalized_values|validated_candidate_fields|consumed_candidate_fields|consumed_context_items|evaluator_io_used|adapter_id,frozen
12,CONTRACT_012,runtime_reuse,dispatch_error_fields,DISPATCH_ERROR_FIELDS_exact8_identity|code|admission_rule_id|known_rule|callable_discovered|adapter_ready|reason,frozen
13,CONTRACT_013,runtime_reuse,dispatch_error_codes,DISPATCH_ERROR_CODES_exact8_identity|UNIFIED_ADMISSION_RULE_ID_TYPE_INVALID|UNIFIED_ADMISSION_RULE_ID_UNKNOWN|UNIFIED_ADMISSION_RULE_NOT_REGISTERED|UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY|UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID,frozen
14,CONTRACT_014,runtime_reuse,outcome_vocabulary,OUTCOME_VOCABULARY_exact8_identity|passed|blocked|invalid|rejected,frozen
15,CONTRACT_015,registration,current_exact8_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008,frozen
16,CONTRACT_016,registration,future_exact9_order,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009,frozen
17,CONTRACT_017,registration,first_eight_handler_identity,8_of_8_exact8_objects,frozen
18,CONTRACT_018,registration,only_future_addition,ADMIT_009|_evaluate_registered_admit_009,frozen
19,CONTRACT_019,routing,complete_order,batch_context_mapping_validation|batch_duplicate_identity_keys_required_key_lookup|evaluation_context_mapping_validation|duplicate_identity_key_contract_required_key_lookup|download_result_context_must_be_none|stage_authorization_context_must_be_none|candidate_record_mapping_validation|duplicate_identity_key_required_key_lookup|formal_evaluator|source_validation|independent_oracle|full_exact10_equality|exact13_projection,frozen
20,CONTRACT_020,routing,batch_mapping,isinstance_Mapping_subclasses_accepted,frozen
21,CONTRACT_021,routing,batch_required_lookup,single_direct_getitem_KeyError_only_missing,frozen
22,CONTRACT_022,routing,evaluation_mapping,isinstance_Mapping_subclasses_accepted,frozen
23,CONTRACT_023,routing,evaluation_required_lookup,single_direct_getitem_KeyError_only_missing,frozen
24,CONTRACT_024,routing,download_result_context,exact_none,frozen
25,CONTRACT_025,routing,stage_authorization_context,exact_none,frozen
26,CONTRACT_026,routing,context_failure,candidate_not_accessed_formal_0_oracle_0_no_exact13,frozen
