failure_case_id,failure_case_name,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,contract_row_count,truth_row_count,current11_readiness_row_count,actual_completed_review_count,actual_ingestion_envelope_count,actual_ingestion_result_count,actual_authority_record_count,smarts_ready,role_ready,mask_ready,model_ready,training_ready,verified
FAIL_001,BASE source missing,5710f4c9cf844797d520d0a27823ab70b7d189e0109a28cdb70aa37b60fdc10a,base_source_present,false,BASE_SOURCE_MISSING,"[""BASE_SOURCE_MISSING""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_002,BASE source SHA mismatch,6827be0cc706c3f24161d661e8238840198e39b2b796245d967f8910e1c108c9,base_source_sha_matches,false,BASE_SOURCE_SHA_MISMATCH,"[""BASE_SOURCE_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_003,design transaction not succeeded,55f865fea703335fe0170167adf1650c613cfb25de88328379a36c56090fa896,design_transaction_succeeded,false,DESIGN_TRANSACTION_NOT_SUCCEEDED,"[""DESIGN_TRANSACTION_NOT_SUCCEEDED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_004,design interface implementation readiness false,3b82fc92983edde97e69f93462839cdc63735780fd5ac3345b3aca9687ae6620,design_interface_ready,false,DESIGN_INTERFACE_READINESS_FALSE,"[""DESIGN_INTERFACE_READINESS_FALSE""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_005,design execution readiness prematurely true,5f073a9089b90debff939bd556f3bc259439d32e16ca9b0cb591f4f9f14dbad6,design_execution_closed,false,DESIGN_EXECUTION_PREMATURELY_READY,"[""DESIGN_EXECUTION_PREMATURELY_READY""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_006,interface version mismatch,da7116719c44aa97771fe0f680743b4f9fdb25433fa24808e75a22808e60d582,interface_version_exact,false,INTERFACE_VERSION_MISMATCH,"[""INTERFACE_VERSION_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_007,public function signature mismatch,a038126ca54ba26edc6d58e5bad0c5f6cea67cd417af25040de25d5f6e533b42,public_signature_exact,false,PUBLIC_FUNCTION_SIGNATURE_MISMATCH,"[""PUBLIC_FUNCTION_SIGNATURE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_008,external authority-map input accepted,1dc4e392f5c62aeb63113255120ec7683796b2602babe2430403b2d11e2a6d1a,external_authority_maps_forbidden,false,EXTERNAL_AUTHORITY_MAP_INPUT_ACCEPTED,"[""EXTERNAL_AUTHORITY_MAP_INPUT_ACCEPTED""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_009,Exact6 response field inventory mismatch,b370b4226660fc34d212b0ed1914c10fe1ada70f8d03201007f80b8d68280793,response_field_inventory_exact,false,INTERFACE_RESPONSE_FIELD_INVENTORY_MISMATCH,"[""INTERFACE_RESPONSE_FIELD_INVENTORY_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_010,interface response exact type invalid,14cb74218a5b83e2fdbf7afc29154980b17fab3e5c9e1b5071a273ed3ac2447c,response_exact_types_valid,false,INTERFACE_RESPONSE_EXACT_TYPE_INVALID,"[""INTERFACE_RESPONSE_EXACT_TYPE_INVALID""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_011,authority-context digest linkage mismatch,2728c4d83e66494e8eff68cd6acd3a8ea4896f0b4ff398a6807df0a9c8007d92,context_digest_linkage_valid,false,AUTHORITY_CONTEXT_DIGEST_LINKAGE_MISMATCH,"[""AUTHORITY_CONTEXT_DIGEST_LINKAGE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_012,interface response SHA mismatch,61e12b018e4b0e2a65b0d53f970c9890f66bc3fdb7ace08c793d29d4cf753100,response_sha_valid,false,INTERFACE_RESPONSE_SHA_MISMATCH,"[""INTERFACE_RESPONSE_SHA_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_013,result count mismatch,44e3eb41b589aa1b803a5f55fdd1b3f09e2bfb0ce7477cbeb4c91501895d4898,result_count_matches,false,INTERFACE_RESULT_COUNT_MISMATCH,"[""INTERFACE_RESULT_COUNT_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_014,result order mismatch,64fb46aa090f18d0e302377dc2147560ca8704ae4a8c63077a31be1b4e3d1fc3,result_order_matches,false,INTERFACE_RESULT_INPUT_ORDER_MISMATCH,"[""INTERFACE_RESULT_INPUT_ORDER_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_015,batch-passed/result-outcome mismatch,d3300a1aa4d8ace16c823e007dfdecadcfabba54d6c61a67e42ba09f5d0241ba,batch_result_outcome_matches,false,INTERFACE_BATCH_PASSED_INVARIANT_MISMATCH,"[""INTERFACE_BATCH_PASSED_INVARIANT_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_016,failed batch emitted new authority,47d05fb7b8696447178fcf0c7cc754ffc5a872cfb972fbbbf487fdee76b9d367,failed_batch_authority_count,1,INTERFACE_FAILED_BATCH_EFFECT_MISMATCH,"[""INTERFACE_FAILED_BATCH_EFFECT_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_017,passed non-replay result missing new authority,f33aa34c90ea2d47a8d50ab075f702cd47c028a91281bd3b29fbede0bc733b5c,non_replay_authority_linkage_valid,false,INTERFACE_NON_REPLAY_AUTHORITY_LINKAGE_MISMATCH,"[""INTERFACE_NON_REPLAY_AUTHORITY_LINKAGE_MISMATCH""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_018,replay emitted new authority,a19223b36ecab171216d3dd80e0f81e4b0aa5caf04964e27cc5c882f80fa8064,replay_emits_no_new_authority,false,INTERFACE_REPLAY_EMITTED_NEW_AUTHORITY,"[""INTERFACE_REPLAY_EMITTED_NEW_AUTHORITY""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
FAIL_019,replay authority absent from existing authority set,a7205cbb8377c2d969fe160f9605cfe2527161b576c5940601a0fec4bb16fc6c,replay_authority_exists,false,INTERFACE_REPLAY_AUTHORITY_NOT_EXISTING,"[""INTERFACE_REPLAY_AUTHORITY_NOT_EXISTING""]",true,true,0,0,0,0,0,0,0,false,false,false,false,false,true
