contract_id,semantic_name,contract_scope,required_inputs,validation_rule,success_effect,failure_effect,fails_closed,verified
IFACE_001,formal interface version and function signatures are exact,public_api,interface version;three public call signatures,version and parameter order/kinds/defaults/annotations are frozen,stable typed public API admitted,interface transaction fails,true,true
IFACE_002,authority context is built from frozen committed design authority,authority_context,repo_root;interface BASE ancestry;frozen imported design source;design BASE Git objects,builder and evaluator accept interface BASE descendants only when imported design worktree and HEAD bytes retain the frozen SHA,immutable context admitted,context is rejected,true,true
IFACE_003,external authority maps and file-path inputs are forbidden,public_api,public signature inventory,repo/file/payload and internal authority-map keywords are absent,in-memory boundary preserved,interface transaction fails,true,true
IFACE_004,typed in-memory submissions are passed without mutation,purity,submissions;authority context;existing authorities,canonical deep snapshots are equal after evaluation,inputs remain unchanged,evaluation fails closed,true,true
IFACE_005,core ingestion semantics delegate to committed design module,delegation,typed in-memory inputs;validated committed-design context;committed design evaluator,read-only runtime integrity attestation precedes exactly one design ingest_review_batch call,committed semantics retained,interface transaction fails,true,true
IFACE_006,interface response schema is Exact6,response,design batch result;authority context digest,field order and exact types equal frozen Exact6,response admitted,response rejected,true,true
IFACE_007,interface response hash is deterministic and self-excluding,response,ordered Exact5 canonical payload,canonical JSON SHA256 excludes only response hash field,response identity admitted,response rejected,true,true
IFACE_008,batch/result/new-authority/replay invariants are validated,response,submissions;results;new and existing authorities,"order,count,atomicity,new/replay mapping all match",batch response admitted,response rejected,true,true
IFACE_009,all result and authority records retain committed Exact18/Exact27 semantics,delegated_records,result and authority records,committed design validators pass every record and digest,records admitted unchanged,response rejected,true,true
IFACE_010,interface evaluation has no filesystem persistence side effects,purity,in-memory evaluator call;interface Exact4 artifact lifecycles;legal public descendants,business payload remains in memory while read-only Git/source integrity checks write no file,zero-write evaluation admitted,interface transaction fails,true,true
IFACE_011,"implementation materializes no real review, result, authority or downstream label",lifecycle,formal artifact inventory,actual review/envelope/result/authority and label counts remain zero,synthetic evidence only,interface transaction fails,true,true
IFACE_012,model/training gates remain closed and feature-semantics audit remains required,downstream,canonical masks;module counts;training prerequisite,"five masks,zero of five modules integrated,training false",downstream remains closed,interface transaction fails,true,true
