sample_index_row_id,pdb_id,ligand_comp_id,source_candidate_set_sha256,review_package_available,blank_review_template_available,interface_implementation_available,immutable_authority_context_available,interface_synthetic_validation_passed,completed_review_record_available,human_provenance_envelope_available,ready_for_real_ingestion_execution,real_ingestion_completed,authority_record_available,complete_warhead_atom_set_authority_available,exact_one_attachment_boundary_authority_available,sample_quarantined,ready_for_candidate_warhead_smarts_materialization,ready_for_role_proposal_generation,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,blocking_reasons,verified
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,d7dc4b8d14698755321877629f2ae0a8533b24120c723d0d2ed8132903cc4c2b,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,d96b434437f35b70cce4c9b1af33cf7ceb060335b3611ef684a47fc7f0272953,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,26ceea8de967d586c64cb07de970a16d00caa8344abc5fde449323992b550ef7,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,44ebfe25817c4946b67c11c78997a3daa9d124a399a325207f9581ccad7ac263,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,25572f5d3129695b7760af5cfc946128a83f7fc589aa001f1b64db1d9ecc1681,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,0dea0d6b34b9166b98e033ab3f92c96e7004ef4fdb186702e90d20a826d5f16f,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,d60d881c05012aae57e325d1677276fea201daecb6844700076725bec535f8f3,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,148dea3b4329514191dabb720622026e5fd1bfcc205636a97eb36ac20b137612,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,e9e24e75e00cdb6b7ec64870f107c9de22b4ed3486ce59b1d70875df24f1558c,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,f2fdec02896dbb8ae730003e038ec720734be56b03398f5f7663ec81d704d1cd,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,completed_human_review_record_missing;human_provenance_envelope_missing;real_ingestion_not_executed,true
