sample_split_assignment_id,sample_index_row_id,pdb_id,ligand_comp_id,source_index_stage,final_leakage_group_id,final_leakage_group_member_count,assigned_split,split_unit_type,group_assignment_row_found,source_unified_row_found,source_assignment_row_found,sample_split_assignment_passed,eligible_for_final_dataset_materialization_smoke,ready_for_training_current_step,feature_semantics_audit_required_before_training,leakage_split_design_required_before_training,blocking_reasons
COVAPIE_SAMPLE_SPLIT_000001,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,pilot,COVAPIE_LEAKAGE_GROUP_000001,3,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000002,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,pilot,COVAPIE_LEAKAGE_GROUP_000001,3,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000003,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,pilot,COVAPIE_LEAKAGE_GROUP_000001,3,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000004,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,expansion,COVAPIE_LEAKAGE_GROUP_000002,1,validation,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000005,CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,expansion,COVAPIE_LEAKAGE_GROUP_000003,1,validation,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000006,CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,expansion,COVAPIE_LEAKAGE_GROUP_000004,5,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000007,CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,expansion,COVAPIE_LEAKAGE_GROUP_000004,5,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000008,CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,expansion,COVAPIE_LEAKAGE_GROUP_000004,5,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000009,CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,expansion,COVAPIE_LEAKAGE_GROUP_000004,5,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000010,CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,expansion,COVAPIE_LEAKAGE_GROUP_000004,5,train,final_leakage_group_id,True,True,True,True,True,False,True,True,
COVAPIE_SAMPLE_SPLIT_000011,CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,expansion,COVAPIE_LEAKAGE_GROUP_000005,1,test,final_leakage_group_id,True,True,True,True,True,False,True,True,
