split_leakage_audit_id,left_sample_index_row_id,right_sample_index_row_id,left_final_leakage_group_id,right_final_leakage_group_id,left_split,right_split,cross_split_pair,same_final_leakage_group_after_transitive_closure,direct_must_link_edge,same_ligand_graph,same_murcko_scaffold,same_protein_accession,same_exact_protein_sequence,same_sequence_cluster_90,same_sequence_cluster_50,transitive_only_same_group,leakage_violation,pair_split_leakage_passed,blocking_reasons
COVAPIE_SPLIT_LEAKAGE_000001,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000002,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000001,train,train,False,True,True,True,True,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000002,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000003,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000001,train,train,False,True,True,True,True,True,True,True,True,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000003,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000004,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000002,train,validation,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000004,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000005,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000003,train,validation,True,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000005,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000006,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000006,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000007,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000007,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000008,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000008,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000009,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000009,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000010,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000004,train,train,False,False,False,False,False,False,False,False,False,False,False,True,
COVAPIE_SPLIT_LEAKAGE_000010,CYS_SG_SAMPLE_INDEX_000001,CYS_SG_SAMPLE_INDEX_000011,COVAPIE_LEAKAGE_GROUP_000001,COVAPIE_LEAKAGE_GROUP_000005,train,test,True,False,False,False,False,False,False,False,False,False,False,True,
