precondition_item,expected_status,observed_status,precondition_passed,blocking_reasons
manifest_contract,True,True,True,
manifest_readiness,True,True,True,
feature_mask_contract,True,True,True,
issue_sentinel,True,True,True,
manifest_stage_validated,True,True,True,
manifest_all_checks_passed,True,True,True,
manifest_blocking_reasons_clear,True,True,True,
manifest_input_load_passed,True,True,True,
manifest_semantic_validation_passed,True,True,True,
manifest_premerge_scope_clear,True,True,True,
manifest_split_readiness_validated,True,True,True,
manifest_final_dataset_boundary_validated,True,True,True,
manifest_training_boundary_validated,True,True,True,
manifest_feature_semantics_boundary_validated,True,True,True,
manifest_canonical_masks_validated,True,True,True,
source_step14ap_commit_is_ancestor,True,True,True,
unified_row_count_validated,True,True,True,
unified_schema_validated,True,True,True,
unified_csv_json_validated,True,True,True,
unified_identity_validated,True,True,True,
unified_hashes_validated,True,True,True,
assignment_row_count_validated,True,True,True,
assignment_csv_json_validated,True,True,True,
assignment_hashes_validated,True,True,True,
assignment_identity_validated,True,True,True,
assignment_fields_validated,True,True,True,
inventory_row_identity_validated,True,True,True,
inventory_member_contract_validated,True,True,True,
inventory_coverage_validated,True,True,True,
inventory_assignment_membership_validated,True,True,True,
pair_exact_set_validated,True,True,True,
pair_identity_validated,True,True,True,
pair_status_validated,True,True,True,
pair_group_consistency_validated,True,True,True,
pair_edge_count_validated,True,True,True,
issue_sentinel_validated,True,True,True,
source_safety_contract_validated,True,True,True,
unified_contract,True,True,True,
assignment_contract,True,True,True,
inventory_contract,True,True,True,
inventory_assignment_membership,True,True,True,
pair_exact_set,True,True,True,
pair_identity,True,True,True,
pair_group_consistency,True,True,True,
source_safety_contract,True,True,True,
