policy_audit_item,observed_value,expected_value,policy_check_passed,blocking_reasons
policy_name,deterministic_final_leakage_group_exhaustive_ratio_fit_v1,deterministic_final_leakage_group_exhaustive_ratio_fit_v1,True,
split_unit,final_leakage_group_id,final_leakage_group_id,True,
split_names,train;validation;test,train;validation;test,True,
target_ratios,7/10;3/20;3/20,7/10;3/20;3/20,True,
randomization_used,false,false,True,
split_seed_used,false,false,True,
exhaustive_small_n_search,true,true,True,
candidate_assignment_count,243,243,True,
valid_candidate_count,56,56,True,
objective_order,sample_l1_error;sample_max_error;group_l1_error;assignment_signature,sample_l1_error;sample_max_error;group_l1_error;assignment_signature,True,
tie_break_rule,lexicographic_assignment_signature,lexicographic_assignment_signature,True,
selected_assignment_signature,0;1;1;0;2,0;1;1;0;2,True,
selected_sample_counts,8;2;1,8;2;1,True,
selected_group_counts,2;2;1,2;2;1,True,
sample_l1_error,13/10,13/10,True,
sample_max_error,13/20,13/20,True,
group_l1_error,3,3,True,
group_integrity_priority,true,true,True,
small_n_status,provisional_small_n_smoke_only,provisional_small_n_smoke_only,True,
statistical_representativeness,false,false,True,
production_split_policy_finalized,false,false,True,
feature_semantics_audit_still_required,true,true,True,
validation_test_target_symmetry,true,true,True,
asymmetric_validation_test_constraint_added,false,false,True,
tie_resolved_by_assignment_signature,true,true,True,
selected_signature_is_lexicographic_minimum,true,true,True,
each_split_has_group,true,true,True,
train_not_smaller_than_validation,true,true,True,
train_not_smaller_than_test,true,true,True,
